"Okay","here are the two CSV tables extracted from the provided document","formatted as requested:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Altrust Financial Services,"Inc."","Cullman,"AL"","2023","Altrust Financial Services,"Inc. (A)"","Common Stock","1200648","24.125%","60330"
"Altrust Financial Services,"Inc."","Cullman,"AL"","2023","Cecil Alan & Amy Walker","Common Stock","322155","6.473%","60330"
"Altrust Financial Services,"Inc."","Cullman,"AL"","2023","Wanda Walker Clay","Common Stock","91657","1.842%","60330"
"Altrust Financial Services,"Inc."","Cullman,"AL"","2023","Trent A. Walker","Common Stock","33456","0.672%","60330"
"Altrust Financial Services,"Inc."","Vestavia,"AL"","2023","Lance William Walker","Common Stock","33356","0.670%","60330"
"Altrust Financial Services,"Inc."","Baileyton,"AL"","2023","Terry Neal & Tressa Walker","Common Stock","311529","6.260%","60330"
"Altrust Financial Services,"Inc."","Baileyton,"AL"","2023","Tillman Walker","Common Stock","32000","0.643%","60330"
"Altrust Financial Services,"Inc."","Baileyton,"AL"","2023","Jett T. Walker","Common Stock","6270","0.126%","60330"
"Altrust Financial Services,"Inc."","Baileyton,"AL"","2023","Jayde T. Walker","Common Stock","4517","0.091%","60330"
"Altrust Financial Services,"Inc."","Baileyton,"AL"","2023","Whitney Walker Gibbs","Common Stock","32000","0.643%","60330"
"Altrust Financial Services,"Inc."","Baileyton,"AL"","2023","Lia K. Gibbs","Common Stock","6270","0.126%","60330"
"Altrust Financial Services,"Inc."","Baileyton,"AL"","2023","Walker T. Gibbs","Common Stock","6270","0.126%","60330"
"Altrust Financial Services,"Inc."","Joppa,"AL"","2023","Timothy Dudley & Doreen Walker","Common Stock","299297","6.014%","60330"
"Altrust Financial Services,"Inc."","Joppa,"AL"","2023","Timothy D. Walker","Common Stock","1090","0.022%","60330"
"Altrust Financial Services,"Inc."","Joppa,"AL"","2023","Shannon D. Walker","Common Stock","1090","0.022%","60330"
"Altrust Financial Services,"Inc."","Cullman,"AL"","2023","Chelsy Walker","Common Stock","25456","0.512%","60330"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"," Occupation","RSSD_ID"
"Altrust Financial Services,"Inc."","n/a","Altrust Financial Services,"Inc."","n/a","n/a","2023","n/a","60330"
"Altrust Financial Services,"Inc."","Director,"Chairman"","Cecil Alan Walker","Director","Walker Bros. LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director,"Chairman"","Cecil Alan Walker","Director","Walker Servicing Corp.","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director,"Chairman"","Cecil Alan Walker","Director","Walker Mortgages LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director,"Chairman"","Cecil Alan Walker","Director","Gunters Landing LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director,"Secretary"","Terry Neal Walker","Director","Walker Bros. LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director,"Secretary"","Terry Neal Walker","Director","Walker Servicing Corp.","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director,"Secretary"","Terry Neal Walker","Director","Walker Mortgages LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director,"Secretary"","Terry Neal Walker","Director","Gunters Landing LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director","Timothy Dudley Walker","Director","Walker Bros. LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director","Timothy Dudley Walker","Director","Walker Servicing Corp.","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director","Timothy Dudley Walker","Director","Walker Mortgages LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","Director","Timothy Dudley Walker","Director","Gunters Landing LTD","2023","Building Supply Real Estate Construction","60330"
"Altrust Financial Services,"Inc."","n/a","Robin Cummings","Director","n/a","2023","Retired","60330"
"Altrust Financial Services,"Inc."","Director","George Whit Drake","Attorney","Attorney-own name","2023","Attorney","60330"
"Altrust Financial Services,"Inc."","Director","Noel Jasper Estes","n/a","n/a","2023","Retired","60330"
"Altrust Financial Services,"Inc."","Director","Brian Clarke Witcher","n/a","SouthPark Auto Sales","2023","Used Car Dealer Financing","60330"
"Altrust Financial Services,"Inc."","Director","Brian Clarke Witcher","n/a","Cullman Auto Financing","2023","Used Car Dealer Financing","60330"
"Altrust Financial Services,"Inc."","Director","Candace Nail Hooten","n/a","WW Holdings,"LLC"","2023","Real Estate","60330"
"Altrust Financial Services,"Inc."","Director","Craig Estes","n/a","n/a","2023","Engineer","60330"
"Altrust Financial Services,"Inc."","President","Timothy Williams","n/a","n/a","2023","Banking","60330"
"Altrust Financial Services,"Inc."","Director","Charles Herndon","n/a","n/a","2023","Banking","60330"
"Altrust Financial Services,"Inc."","n/a","William Kinney","n/a","n/a","2023","Banking","60330"
"Altrust Financial Services,"Inc."","n/a","Debra Goble","n/a","n/a","2023","Banking","60330"
"Altrust Financial Services,"Inc."","n/a","David Patterson","n/a","n/a","2023","Banking","60330"
"Altrust Financial Services,"Inc."","n/a","Stacey King","n/a","n/a","2023","Banking","60330"
```
