Here are the two requested CSV tables:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"American Bancshares,"Inc."","Covington,"LA"","2021","Julian J,"Rodrigue","Jr."","n/a","770000","25.4132%","n/a"
"American Bancshares,"Inc."","Covington,"LA"","2021","Karen Smith Riecke","n/a","581240","19.1834%","n/a"
"American Bancshares,"Inc."","Covington,"LA"","2021","Riecke and Associates","n/a","338925","11.1859%","n/a"
"American Bancshares,"Inc."","Hammond,"LA"","2021","Darryl Smith","n/a","283505","9.3569%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","3368 LLC","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Castine Pointe,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Global Disaster Housing","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Abita River,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Cypress Group","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","GDH Intl","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","East Point Invest,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","RHD Development","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Speedee Oil","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Tammany Mall","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Slidell Rentals,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Ridge Road Development LLC","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Healthcare Rentals II. LLC","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Iron Construction LLC","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Instruments & Holdings","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Riecke Mississippi Holdings,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","R4Holdings,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","JD2 Industries","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Palm Plaza,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Riecke & assoc,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Prancing Horse Holdings","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Riecke Development and Construction,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Tangipahoa Equities,"LLC"","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Rothchild Center","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Jefferson Place Apts","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Chairman of the Board","Jared Caruso Riecke","Owner or Partial Owner","Team Riecke","2021","Developer/Utility Co Exec","597452"
"American Bancshares,"Inc."","Director,"President & CEO"","Alton K McRee","n/a","n/a","2021","Banker","597452"
"American Bancshares,"Inc."","Director","Paul J Mayronne","n/a","Paul J. Mayronne,"LLC"","2021","Attorney","597452"
"American Bancshares,"Inc."","Director","Paul J Mayronne","n/a","Airport North,"LLC"","2021","Attorney","597452"
"American Bancshares,"Inc."","Director","Paul J Mayronne","n/a","3G Ranch,"LLC"","2021","Attorney","597452"
"American Bancshares,"Inc."","Director","Daniel H Edwards Sr","n/a","n/a","2021","Sheriff","597452"
"American Bancshares,"Inc."","Director","Raymond R. Riecke","n/a","n/a","2021","Retired Businessman","597452"
"American Bancshares,"Inc."","Director","Edward T. Riecke","Owner or Partial Owner","Castine Pointe,"LLC"","2021","Banker,"Developer"","597452"
"American Bancshares,"Inc."","Director","Edward T. Riecke","Owner or Partial Owner","Abita River,"LLC"","2021","Banker,"Developer"","597452"
"American Bancshares,"Inc."","Director","Edward T. Riecke","Owner or Partial Owner","Cypress Group,"LLC"","2021","Banker,"Developer"","597452"
"American Bancshares,"Inc."","Director","Edward T. Riecke","Owner or Partial Owner","Dalrymple Development,"LLC"","2021","Banker,"Developer"","597452"
