Here are the two CSV tables as requested.
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"American Bancshares-Red River,"Inc."","Covington,"LA"","2022","Julian J,"Rodrigue","Jr."","n/a","770000","25.4132%","n/a"
"American Bancshares-Red River,"Inc."","Covington,"LA"","2022","Karen Smith Riecke","n/a","581240","19.1834%","n/a"
"American Bancshares-Red River,"Inc."","Covington,"LA"","2022","Riecke and Associates","n/a","338925","11.1859%","n/a"
"American Bancshares-Red River,"Inc."","Hammond,"LA"","2022","Darryl Smith","n/a","283505","9.3569%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","3368 LLC","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Castine Pointe,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Global Disaster Housing","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Abita River,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Cypress Group","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","GDH Intl","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","The Cypress Group","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","East Point Invest,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","RHD Development","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Speedee Oil","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Tammany Mall","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Slidell Rentals,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Ridge Road Development LLC","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Healthcare Rentals II. LLC","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Iron Construction LLC","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Instruments & Holdings","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Riecke Mississippi Holdings,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","R4Holdings,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","JD2 Industries","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Palm Plaza,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Riecke & assoc,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Prancing Horse Holdings","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Riecke Development and Construction,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Tangipahoa Equities,"LLC"","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Rothchild Center","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Jefferson Place Apts","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Chairman of the Board","Jared Caruso Riecke","Chairman of the Board","Team Riecke","2022","Developer/ Utility Co Exec","n/a"
"American Bank","Director","Alton K McRee","n/a","n/a","2022","Banker","n/a"
"American Bank","Director","Paul J Mayronne","n/a","Paul J. Mayronne,"LLC"","2022","Attorney","n/a"
"American Bank","Director","Paul J Mayronne","n/a","Airport North,"LLC"","2022","Attorney","n/a"
"American Bank","Director","Paul J Mayronne","n/a","3G Ranch,"LLC"","2022","Attorney","n/a"
"American Bank","Director","Daniel H Edwards Sr","n/a","n/a","2022","Sheriff","n/a"
"American Bank","Director","Raymond R. Riecke","n/a","n/a","2022","Retired Businessman","n/a"
"American Bank","Director","Edward T. Riecke","n/a","Castine Pointe,"LLC"","2022","Banker,"Developer"","n/a"
"American Bank","Director","Edward T. Riecke","n/a","Abita River,"LLC"","2022","Banker,"Developer"","n/a"
"American Bank","Director","Edward T. Riecke","n/a","Cypress Group,"LLC"","2022","Banker,"Developer"","n/a"
"American Bank","Director","Edward T. Riecke","n/a","Dalrymple Development,"LLC"","2022","Banker,"Developer"","n/a"
"American Bank","Director","Edward T. Riecke","n/a","East Point Invest,"LLC"","2022","Banker,"Developer"","n/a"
"American Bank","Director","Edward T. Riecke","n/a","They Got Me Working LLC","2022","Banker,"Developer"","n/a"
"American Bank","Director","Edward T. Riecke","n/a","Manchac Equities,"LLC"","2022","Banker,"Developer"","n/a"
"American Bank","Director","Edward T. Riecke","n/a","ETR,"LLC"","2022","Banker,"Developer"","n/a"
