"Here are the two CSV tables you requested","extracted from the provided document:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"BankUnited,"Inc."","Baltimore","2015","T. Rowe Price Associates,"Inc."","n/a","5496125","5.3%"
"BankUnited,"Inc."","New York","2015","Wellington Management Group LLP","n/a","6650499","6.4%"
"BankUnited,"Inc."","Malvern","2015","The Vanguard Group","n/a","6675147","6.4%"
"BankUnited,"Inc."","New York","2015","BlackRock,"Inc."","n/a","5186907","5.0%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"BankUnited,"Inc."","President,"CEO and Director"","John A. Kanas","Director,"President & CEO"","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Chief Financial Officer","Leslie N. Lunak","Chief Financial Officer","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Chief Operating Officer and Director","Rajinder P. Singh","Chief Operating Officer","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","Tere Blanca","Director","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","Eugene F. DeMark","Director","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","Michael Dowling","Director","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","Douglas J. Pauls","Director","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","The Honorable A. Gail Prudenti (ret)","Director","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","Sanjiv Sobti,"Ph.D."","Director","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","A. Robert Towbin","Director","BankUnited,"N.A."","2015"
"BankUnited,"Inc."","Director","Lynne Wines","Director","BankUnited,"N.A."","2015"
```
