Here are the requested CSV extractions.
```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"BOLC,"Corp."","Fayetteville,"TN"","2021","Hue Counts","Common Stock","25625","5.51%","n/a"
"BOLC,"Corp."","Fayetteville,"TN"","2021","Charles E. Gleghorn Living Trust","Common Stock","55692","11.97%","n/a"
"BOLC,"Corp."","Fayetteville,"TN"","2021","Joyce Groce","Common Stock","26625","5.63%","n/a"
"BOLC,"Corp."","Fayetteville,"TN"","2021","Damron Tn Community Property Trust","Common Stock","23625","5.08%","n/a"
```
```text
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","Bank of Lincoln County","2021","Banker","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","North Ala Bank","2021","Banker","n/a"
"BOLC,"Corp."","Director","Hue Counts","Director","Bank of Lincoln County","2021","n/a","n/a"
"BOLC,"Corp."","Director","Kristie Brannon","Director","Bank of Lincoln County","2021","Farmer","n/a"
"BOLC,"Corp."","Director","Tony Groce","Director","Bank of Lincoln County","2021","Road Builder","n/a"
"BOLC,"Corp."","Director","Charles Wayne Damron","Director","Bank of Lincoln County","2021","n/a","n/a"
"BOLC,"Corp."","Director","Tom S. Bigham,"III"","Director","Bank of Lincoln County","2021","Dentist","n/a"
"BOLC,"Corp."","Director","Charles Higgins","Director","Bank of Lincoln County","2021","n/a","n/a"
"BOLC,"Corp."","Director","Billy Joe Evans","Director","Bank of Lincoln County","2021","n/a","n/a"
"BOLC,"Corp."","Director","William L. Thomas","Director","Bank of Lincoln County","2021","Trade News Paper Publisher","n/a"
"BOLC,"Corp."","Director","Dale Gleghorn","Director","Bank of Lincoln County","2021","Banker","n/a"
"BOLC,"Corp."","Director CEO","Gay Gleghorn Dempsey","Director","Bank of Lincoln County","2021","Banker","n/a"
"BOLC,"Corp."","Director","Lee Lasater","n/a","n/a","2021","Farmer","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","WCS Corporation","2021","Banker","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","Fayetteville Grocery","2021","Banker","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","Brook Haven Farms","2021","Banker","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","Twin Oaks","2021","Banker","n/a"
"BOLC,"Corp."","Director","Kristie Brannon","n/a","Elora Gin & Warehouse","2021","Farmer","n/a"
"BOLC,"Corp."","Director","Kristie Brannon","n/a","Brannon Farms","2021","Farmer","n/a"
"BOLC,"Corp."","Director","Tony Groce","n/a","Lincoln Paving,"LLC"","2021","Road Builder","n/a"
"BOLC,"Corp."","Director","Tony Groce","n/a","Lincoln Road Builders,"Inc"","2021","Road Builder","n/a"
"BOLC,"Corp."","Director","Tony Groce","n/a","Fayetteville Lumber & Supply","2021","Road Builder","n/a"
"BOLC,"Corp."","Director","Charles Wayne Damron","Director","Twin Oaks","2021","n/a","n/a"
"BOLC,"Corp."","Director","Charles Higgins","Director","Twin Oaks","2021","n/a","n/a"
"BOLC,"Corp."","Director","William L. Thomas","Director","Your Extended Attic,"GP"","2021","Trade News Paper Publisher","n/a"
"BOLC,"Corp."","Director","William L. Thomas","Director","Your Extended Attic HG,"LLC"","2021","Trade News Paper Publisher","n/a"
"BOLC,"Corp."","Director CEO","Gay Gleghorn Dempsey","Director","Plateau / TN Valley Reinsurance","2021","Banker","n/a"
```
