"Okay","I understand. Here are the two CSV tables extracted from the provided FR Y-6 form","following all of your instructions."
```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"CBOS Bankshares,"Inc."","Merritt Island,"FL"","2014","William T. Taylor","Common Stock","34241","5.42%","3450530"
"CBOS Bankshares,"Inc."","Merritt Island,"FL"","2014","CBOS Bankshares,"Inc Employee Stock Ownership Plan (w/ 401k Provisions)"","Common Stock","45708","7.07%","3450530"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"CBOS Bankshares,"Inc."","Director & CEO","William T. Taylor","n/a","n/a","2014","n/a","n/a"
"CBOS Bankshares,"Inc."","Director","Harold T. Bistline","President","Harold T. Bistline,"PA"","2014","Attorney","n/a"
"CBOS Bankshares,"Inc."","Director","Christina L. Buffkin","Director,"Sect/Treas"","Buffkin Ceramic Tile,"Inc"","2014","Business Owner","n/a"
"CBOS Bankshares,"Inc."","Director","Christina L. Buffkin","Director,"Sect/Treas"","Buffkin Commercial Properties,"LLC"","2014","Business Owner","n/a"
"CBOS Bankshares,"Inc."","Director","Christina L. Buffkin","Director,"Sect/Treas"","Buffklin Ceramic Supply,"Inc."","2014","Business Owner","n/a"
"CBOS Bankshares,"Inc."","Director","Christina L. Buffkin","Director,"Sect/Treas"","Buffkin Tile of Melbourne,"Inc."","2014","Business Owner","n/a"
"CBOS Bankshares,"Inc."","Director","Christina L. Buffkin","Director,"Sect/Treas"","Buffkin Residential Rentals,"LLC"","2014","Business Owner","n/a"
"CBOS Bankshares,"Inc."","Director","Stanley Golovac","Partner","The Pain Institute","2014","Doctor","n/a"
"CBOS Bankshares,"Inc."","Director","Charles W. Johnson","n/a","n/a","2014","Investor","n/a"
"CBOS Bankshares,"Inc."","Director","Maxwell King","n/a","n/a","2014","Retired College Pres","n/a"
"CBOS Bankshares,"Inc."","Director","Thomas E. Wasdin","President","Wasdin Associates,"Inc."","2014","Developer","n/a"
```
