"Okay","here are the two CSV tables extracted from the provided FR Y-6 form","following all instructions:"
```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"CBS FINANCIAL CORPORATION","Marietta","2015","Charles J. and Diane P. Jones","Common Stock","142701","5.23%"
"CBS FINANCIAL CORPORATION","Marietta","2015","Tom M. and Betty A. Phillips","Common Stock","247500","9.08%"
"CBS FINANCIAL CORPORATION","Atlanta","2015","James C. and Sarah W. Wallace","Common Stock","177283","6.50%"
"CBS FINANCIAL CORPORATION","Marietta","2015","James T. Willoughby","Common Stock","202281","7.42%"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"CBS Financial Corporation","Director","R. Randall Bentley,"Sr."","Co-Owner","Bentley,"Bentley and Bentley (BBB Law)"","2015"
"CBS Financial Corporation","Director","Jack W. Corn","n/a","n/a","2015"
"CBS Financial Corporation","President","Sylvia D. Hamby","n/a","n/a","2015"
"CBS Financial Corporation","Director","Guy F. Hill,"Jr."","President","Hill Aircraft","2015"
"CBS Financial Corporation","Director & Chairman","Charles J. Jones","Owner","Charleston Inv. CT,"LP - Apartment Investment"","2015"
"CBS Financial Corporation","Director & Secretary","Jay Y. McClure","Co-Owner","McClure & Kornheiser,"LLC"","2015"
"CBS Financial Corporation","Director","Tom M. and Betty A. Phillips;","Owner","Tom M. Phillips Co","2015"
"CBS Financial Corporation","Director","Autice Milburn Poston","Vice President","Traton Corp.","2015"
"CBS Financial Corporation","Director","James C. Pitts,"DDS"","Dentist","n/a","2015"
"CBS Financial Corporation","Vice Chairman CEO","Lee A. & Alma Scroggins Jr.","n/a","n/a","2015"
"CBS Financial Corporation","EVP & CFO","Mary P. Tinsley","n/a","n/a","2015"
"CBS Financial Corporation","Director","James C and Sarah Wallace","President","Wallace Oil Co.","2015"
"CBS Financial Corporation","Director","James T. Willoughby","Partner","Willoughby & Sewell Development Co.","2015"
```
