Here are the two requested CSV tables:
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Central Financial Holdings,"Inc."","Tampa,"FL"","2016","Vijay M. Patel and Tejal V. Patel","n/a","100000","5.42%","3468450"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Central Financial Holdings,"Inc."","Executive Vice President","John Thompson","President/CEO","Troup Ventures,"LLC"","2016","Bank Officer","3468450"
"Central Financial Holdings,"Inc."","Executive Vice President","John Thompson","Managing Member","Troup Ventures,"LLC"","2016","Bank Officer","3468450"
"Central Financial Holdings,"Inc."","Executive Vice President","John Thompson","President/CEO","Timucuan Vilano,"LLC"","2016","Bank Officer","3468450"
"Central Financial Holdings,"Inc."","Executive Vice President","John Thompson","Managing Member","Timucuan Vilano,"LLC"","2016","Bank Officer","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","President","Nobel Hospitality","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Partner","Jiba Family Partnership","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Partner","A & J Partnership Howard Johnson","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Partner","Rams Hospitality,"LLC"","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Patner","Bramas Inc","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Partner","Central Holding","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Partner","Rocky Point Investment I","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Partner","Rocky Point Investment II","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Arvind C. Patel","Partner","Krushi Associates,"LLC"","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh K. Patel","President","JALARAM INC.","2016","Project Engineer-St. of NJ","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh K. Patel","Manager","KRISHNA TREATS,"LLC"","2016","Project Engineer-St. of NJ","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh K. Patel","Manager","Tampa Financial Solutions,"LLC"","2016","Project Engineer-St. of NJ","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh K. Patel","Member","Sunshine Donuts,"LLC"","2016","Project Engineer-St. of NJ","3468450"
"Central Financial Holdings,"Inc."","Director/Vice Chairman/Secretary & CFO","Nileshkumar C. Patel","n/a","n/a","2016","Financial Analyst/CFA","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","A & J Partnership Howard Johnson Express Inn","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Officer","JDRK Associates Inc.","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Officer","Days Inn - Milledgeville","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Officer","Prasad Inc Of Tampa","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Howard Johnson Express Inn Jairamki LLC","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","La Quints Inn","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Officer","Mraj Hospitality","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Officer","Quality Inn","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Dev Krupa Inc","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Tejas Associates LLC","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Howard Johnson Hotel Dhaval LLC","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Super 8","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Kruti Hotels","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Naidip Lavonia,"LLC"","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Sleep Inn - Lavonia","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Krushi Associates,"LLC"","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Officer","Akta Inc","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Narayan Hospitality","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Radhu LLC","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Gen. Partner","Kruti Management LLC","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jayesh D. Patel","Officer","11 Star LLC","2016","Hotel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Dinubhai Patel","Managing Partner","Advance Motel LLC","2016","Motel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Dinubhai Patel","Partner","Ellis Corporation MD","2016","Motel Owner & Operator","3468450"
"Central Financial Holdings,"Inc."","Director","Jiten Patel","Manager","Vinayak Properties,"LLC"","2016","Business","3468450"
"Central Financial Holdings,"Inc."","Director","Jiten Patel","Manager","Shiv,"LLC"","2016","Business","3468450"
"Central Financial Holdings,"Inc."","Director","Jiten Patel","Manager","Ohm Teerth Investment & Consulting,"LLC"","2016","Business","3468450"
"Central Financial Holdings,"Inc."","Director","Jiten Patel","President","Ohm Teerth,"Inc."","2016","Business","3468450"
"Central Financial Holdings,"Inc."","Director","Jiten Patel","President","Ohm Teerth II,"Inc."","2016","Business","3468450"
"Central Financial Holdings,"Inc."","Director","Jiten Patel","Share Holder","Ohm Harshmeeka,"Inc"","2016","Business","3468450"
"Central Financial Holdings,"Inc."","Director","Jiten Patel","Share Holder","Maha Kaali,"Inc"","2016","Business","3468450"
"Central Financial Holdings,"Inc."","Director","Mahendra Patel","Managing Member","Aurum,"LLC"","2016","Comm Real Estate Developer & Hotel Owner","3468450"
