Here are the two tables extracted from the document in CSV format:
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Citco Community Bancshares,"Inc."","Elizabethton","2020","Sam J. LaPorte","Common Stock","2020.00","24.94%"
"Citco Community Bancshares,"Inc."","Elizabethton","2020","Sam J. LaPorte","Other","10671.20","2.29%"
"Citco Community Bancshares,"Inc."","Elizabethton","2020","Sam J. LaPorte","Other","103550.67","22.25%"
"Citco Community Bancshares,"Inc."","Houston","2020","Christopher L. LaPorte","Common Stock","2020.00","24.94%"
"Citco Community Bancshares,"Inc."","Houston","2020","Christopher L. LaPorte","Other","114221.87","24.54%"
"Citco Community Bancshares,"Inc."","Houston","2020","Stephen J. LaPorte","Common Stock","2020.00","24.94%"
"Citco Community Bancshares,"Inc."","Houston","2020","Stephen J. LaPorte","Other","24475.72","5.26%"
"Citco Community Bancshares,"Inc."","Houston","2020","Stephen J. LaPorte","Other","89746.15","19.28%"
"Citco Community Bancshares,"Inc."","Elizabethton","2020","Joseph LaPorte III","Common Stock","2040.00","25.19%"
"Citco Community Bancshares,"Inc."","Elizabethton","2020","Joseph LaPorte III","Other","30316.86","6.51%"
"Citco Community Bancshares,"Inc."","Elizabethton","2020","Joseph LaPorte III","Other","84885.01","18.24%"
"Citco Community Bancshares,"Inc."","n/a","2020","Citco Community Bancshares","n/a","7540.52","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Director/Chairman/CEO/President","Board-Citco Community Bancshares,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Director/Chairman/CEO/Asst. Trust Officer","Citizens Bank","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Director/Chairman/CEO/President","Citco Title Co,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Director/Chairman/CEO/President","Tri Cities Finance Company Inc.","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Director/Chairman/CEO/President","Citizens Investments Services,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Director/Chairman/CEO/President","Magnolia Investments","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Chairman","Acclivity Financial,"LLC"","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Director/Chairman/President","Citizens Bank Tri Cities Foundation,"LTD (non-profit)"","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Member/President/Treasurer","C & J Investments,"LLC"","2020"
"Citco Community Bancshares,"Inc."","Chairman of the Board","Joe LaPorte,"III"","Member/Secretary/Treasurer","JACS LLC","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Director/Secretary","Citco Community Bancshares,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Director/Vice Chairman/ Trust Officer","Citizens Bank","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Secretary","Tri Cities Finance","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Secretary","Magnolia Investments","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Secretary","Citco Title Inc","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Secretary","Citizens Investment Services,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Director/Secretary","Citizens Bank Tri Cities Foundation,"LTD (non-profit)"","2020"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","Member","Lakelap,"LLC"","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","Director","Citco Community Bancshares,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","n/a","Citizens Bank","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","Director/President","GSC Group,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","Director","Citizens Bank Tri Cities Foundation,"LTD (non-profit)"","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","Member","Lakelap,"LLC"","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","Owner","Christopher LaPorte Family Trust","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","Member and Manager","Red Hawk Ranch LLC","2020"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","Partner","Indian Sky Ranch LLC","2020"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Director/Vice President","Citco Community Bancshares,"Inc."","2020"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Director","Citizens Bank","2020"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Director","Citizens Bank Tri Cities Foundation,"LTD (non-profit)"","2020"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Member","Lakelap,"LLC"","2020"
```
