Here are the two tables extracted from the document:
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Commerce National Bankshares of Florida,"Inc."","Daytona Beach,"FL"","2018","James C. France","common stock","2415499","70.127%","3148613"
"Commerce National Bankshares of Florida,"Inc."","Daytona Beach,"FL"","2018","Sharon M. France","common stock","12500",".363%","3148613"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Commerce National Bankshares of Florida,"Inc."","Director","Russell Barkett","Chief Financial Officer","Davgar Entities","2018","CPA","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Jennifer F. Bates","Coordinator","NASCAR","2018","Coordinator/NASCAR","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Jennifer F. Bates","President","J A Holder Company","2018","Coordinator/NASCAR","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director,"CEO"","Guy D. Colado","President/Director","Bulco,"Inc"","2018","N/A","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director/ Secretary/Treasurer","Ray D. Colado","N/A","N/A","2018","N/A","3148613"
"Commerce National Bankshares of Florida,"Inc."","Chairman","James C. France","Chairman","International Speedway Corp.","2018","International Speedway Corp.","3148613"
"Commerce National Bankshares of Florida,"Inc."","Chairman","James C. France","Chairman","NASCAR Holdings,"Inc."","2018","International Speedway Corp.","3148613"
"Commerce National Bankshares of Florida,"Inc."","Chairman","James C. France","President","Principal Investor Corporation","2018","International Speedway Corp.","3148613"
"Commerce National Bankshares of Florida,"Inc."","Chairman","James C. France","President","Tertiary Investment Company","2018","International Speedway Corp.","3148613"
"Commerce National Bankshares of Florida,"Inc."","Chairman","James C. France","President","Quaternary Investment Company","2018","International Speedway Corp.","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Co-Trustee","Hickman Marital Trust","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Co-Trustee","Hickman Trust","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","President","Space Port USA,"Inc."","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","President","1305,"Inc."","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","President","1-4 Properties,"Inc."","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","WM MS Investments,"LLC"","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","Emma Inv. LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","Fern Inv LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","AGWJ Inc LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","South Seminole Inv LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","Tract 27 AIPO LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","Tract 27 AIPO II LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","Coast Harbor Inv. LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","Woolmarket Inv. LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Andre' Hickman","Manager","Airsan Inv. LLC","2018","Real Estate Manager","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","Jane H. Louttit","N/A","N/A","2018","Retired","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","CEO","Strong Management,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Properties,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Pritchard,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Conway,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Bayboro,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Bayboro Holdings,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Highpoint,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","Mgr. Member","Strong Barstone,"LLC"","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","Mgr. Member","Strong Moultrie,"LLC"","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Teton,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Lakeco,"Inc."","2018","Real Estate Investments","3148613"
"Commerce National Bankshares of Florida,"Inc."","Director","David C. Strong","President","Strong Lakeco II,"Inc."","2018","Real Estate Investments","3148613"
