"Here are the two tables in CSV format","as requested:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Crews Banking Corporation","Wauchula,"Florida"","2014","J. W. Crews,"Jr."","n/a","19108","44.64%","1031239"
"Crews Banking Corporation","St,"Arcadia","Florida"","2014","W. Markam Crews","n/a","7176","16.77%","1031239"
"Crews Banking Corporation","Tampa,"Hillsborough County","Florida"","2014","Dena M. Crews Aloian","n/a","7176","16.77%","1031239"
"Crews Banking Corporation","Hardee County,"Florida"","2014","Jeraldine F. Crews","n/a","2166","5.06%","1031239"
"Crews Banking Corporation","n/a","2014","Others stockholders","n/a","n/a","n/a","1031239"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Crews Banking Corporation","President and Director of Crews Banking Corporation.","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","Chairman of the Board and Director of Wauchula State Bank","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","Chairman and Director of Charlotte State Bank","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","President and Director of 3192 Golf,"Inc."","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","Chairman and Director of First State Bank of Arcadia","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","Chairman and Director of Englewood Bank","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","President and Director WSB Development Corp. d/b/a; WSB Financial Services.","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","President and Director Crews Financial Services,"Inc."","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","President and Director South Highlands Investment Corporation","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","President and Director Highlands 27 Investment,"Inc."","J. W. Crews,"Jr."","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","n/a","J. W. Crews,"Jr."","President and Director","Shorewood Corporation","2014","Banker","n/a"
"Crews Banking Corporation","n/a","J. W. Crews,"Jr."","President and Director","T & C Investments,"Inc."","2014","Banker","n/a"
"Crews Banking Corporation","n/a","J. W. Crews,"Jr."","Partner","CBC Affiliates,"LLC"","2014","Banker","n/a"
"Crews Banking Corporation","Vice President and Director of Crews Banking Corporation.","H. D. Crews","n/a","n/a","2014","Physician/Retired","n/a"
"Crews Banking Corporation","Director","H. D. Crews","n/a","Wauchula State Bank","2014","Physician/Retired","n/a"
"Crews Banking Corporation","n/a","H. D. Crews","Vice President and Director","Shorewood Corporation","2014","Physician/Retired","n/a"
"Crews Banking Corporation","n/a","H. D. Crews","Partner","Seven Mountains High,"LLC"","2014","Physician/Retired","n/a"
"Crews Banking Corporation","n/a","H. D. Crews","Partner","CBC Affiliates,"LLC"","2014","Physician/Retired","n/a"
"Crews Banking Corporation","n/a","W. Markam Crews","Partner","JDM Partnership - Citrus Grove","2014","Entrepreneur","n/a"
"Crews Banking Corporation","n/a","W. Markam Crews","Stockholder","Bowling Green Storage,"Inc."","2014","Entrepreneur","n/a"
"Crews Banking Corporation","n/a","W. Markam Crews","Partner","3-C Ranch,"Limited"","2014","Entrepreneur","n/a"
"Crews Banking Corporation","n/a","W. Markam Crews","Partner","Crews Family Holdings,"LLC"","2014","Entrepreneur","n/a"
"Crews Banking Corporation","n/a","W. Markam Crews","Partner","Shorewood Corporation","2014","Entrepreneur","n/a"
"Crews Banking Corporation","Director","J. W. Crews,"IV"","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","Executive Vice President,"Vice Chairman","and Director of Wauchula State Bank"","J. W. Crews,"IV"","n/a","n/a","2014","Banker","n/a"
"Crews Banking Corporation","Director","J. W. Crews,"IV"","n/a","Charlotte State Bank & Trust","2014","Banker","n/a"
"Crews Banking Corporation","Director","J. W. Crews,"IV"","n/a","Englewood Bank & Trust","2014","Banker","n/a"
"Crews Banking Corporation","Director","J. W. Crews,"IV"","n/a","The First State Bank of Arcadia","2014","Banker","n/a"
"Crews Banking Corporation","Director","J. W. Crews,"IV"","n/a","Crews Financial Services","2014","Banker","n/a"
"Crews Banking Corporation","Director","J. W. Crews,"IV"","n/a","Highlands Investment Corporation","2014","Banker","n/a"
"Crews Banking Corporation","Director","J. W. Crews,"IV"","n/a","South Highlands 27 Investment Corp.","2014","Banker","n/a"
"Crews Banking Corporation","n/a","J. W. Crews,"IV"","Secretary","T & C Investments","2014","Banker","n/a"
"Crews Banking Corporation","n/a","J. W. Crews,"IV"","Partner","3-C Ranch,"Limited"","2014","Banker","n/a"
"Crews Banking Corporation","n/a","J. W. Crews,"IV"","Partner","Crews Family Holdings,"LLC"","2014","Banker","n/a"
"Crews Banking Corporation","n/a","J. W. Crews,"IV"","Partner","Shorewood Corporation","2014","Banker","n/a"
"Crews Banking Corporation","Director","Dena M. Crews Aloian","n/a","n/a","2014","Real Estate Agent","n/a"
"Crews Banking Corporation","Director of Wauchula State Bank","Michael  Aloian","n/a","n/a","2014","Trust Banker","n/a"
"Crews Banking Corporation","Director of Charlotte State Bank","Michael  Aloian","n/a","n/a","2014","Trust Banker","n/a"
"Crews Banking Corporation","President of Trust and Investment Management Services","Michael  Aloian","n/a","n/a","2014","Trust Banker","n/a"
"Crews Banking Corporation","Director of Englewood Bank","Michael  Aloian","n/a","n/a","2014","Trust Banker","n/a"
"Crews Banking Corporation","President of Trust and Investment Management Services","Michael  Aloian","n/a","n/a","2014","Trust Banker","n/a"
"Crews Banking Corporation","Director of First State Bank of Arcadia","Michael  Aloian","n/a","n/a","2014","Trust Banker","n/a"
"Crews Banking Corporation","n/a","Michael  Aloian","Partner","JDM Partnership - Citrus Grove","2014","Trust Banker","n/a"
"Crews Banking Corporation","n/a","Michael  Aloian","Partner","Crews Family Holdings,"LLC"","2014","Trust Banker","n/a"
"Crews Banking Corporation","n/a","Michael  Aloian","Partner","3-C Ranch Limited","2014","Trust Banker","n/a"
"Crews Banking Corporation","n/a","Michael  Aloian","Partner","Shorewood Corporation","2014","Trust Banker","n/a"
"Crews Banking Corporation","Director of Wauchula State Bank","Michael Aloian","n/a","n/a","2014","Trust Banker","n/a"
"Crews Banking Corporation","Director,"Secretary and Treasurer"","Michael Aloian","n/a","Crews Financial Services","2014","Trust Banker","n/a"
```
