"Here are the two CSV tables extracted from the document","formatted as requested:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Federal Bancorp,"MHC"","Lake City,"Florida"","2016","n/a","n/a","n/a","n/a","n/a"
"First Federal Bancorp,"Inc."","Lake City,"Florida"","2016","n/a","n/a","n/a","n/a","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Federal Bancorp,"MHC"","Director","Philip J. Moses Jr.","Managing Partner","Odom Moses and Co.,"LLP"","2016","Financial Advisor","n/a"
"First Federal Bancorp,"MHC"","Director","Philip J. Moses Jr.","President","Philip J. Moses Jr. P.A.","2016","Financial Advisor","n/a"
"First Federal Bancorp,"MHC"","Director","Lawrence A. McGrath","n/a","Epiphany Catholic Church Finance Committee","2016","n/a","n/a"
"First Federal Bancorp,"MHC"","Director","Stephen A. Smith","Officer","Smith & Smith,"P.A."","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","Vice President","Stephen A. Smith","Vice President","T.B. of Starke Inc. dba Mex Foods","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","General Partner","Stephen A. Smith","n/a","Northwest Quadrant Land Trust","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","General Partner","Stephen A. Smith","n/a","I-75 Land Trust","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","Owner","Stephen A. Smith","n/a","Cypress Lake Properties of Lake City,"Inc."","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","General Partner","Stephen A. Smith","n/a","Cypress Lake Land Trust","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","General Partner","Stephen A. Smith","n/a","C&W Land Trust","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","General Partner","Stephen A. Smith","n/a","Forest Lake Land Trust","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","Limited Partner","Stephen A. Smith","n/a","Price Creek LLC","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","Limited Partner","Stephen A. Smith","n/a","Beulah Road Properties LLC","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","Limited Partner","Stephen A. Smith","n/a","US 90 Gators LLC","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","Vice President","Stephen A. Smith","n/a","Wingin' It Investments","2016","Attorney","n/a"
"First Federal Bancorp,"MHC"","Director","Ronald D. Poole","General Partner","Poole & Poole","2016","Realtor","n/a"
"First Federal Bancorp,"MHC"","Owner","Ronald D. Poole","n/a","Poole Realty,"Inc."","2016","Realtor","n/a"
"First Federal Bancorp,"MHC"","Limited Partner","Ronald D. Poole","n/a","Alimar Properties","2016","Realtor","n/a"
"First Federal Bancorp,"MHC"","Owner","Ronald D. Poole","n/a","51 Land Trust","2016","Realtor","n/a"
