"Here are the two tables extracted from the document","formatted as requested in CSV format:"
```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Freedom Bancshares,"Inc."","Lebanon,"TN"","2016","John High Bradshaw","Voting Common Stock","58806.87","3.22%","3807899"
"First Freedom Bancshares,"Inc."","Lebanon,"TN"","2016","John High Bradshaw","Voting Common Stock","66300","3.39%","3807899"
"First Freedom Bancshares,"Inc."","Lebanon,"TN"","2016","John Robert Lancaster","Voting Common Stock","49422.98","2.71%","3807899"
"First Freedom Bancshares,"Inc."","Lebanon,"TN"","2016","John Robert Lancaster","Voting Common Stock","66300","3.41%","3807899"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Freedom Bancshares,"Inc."","Director & Chairman/CEO","John Robert Lancaster","Partner","Dugdale & Lancaster,"GP"","2016","Chairman & CEO First Freedom Bank","3807899"
"First Freedom Bancshares,"Inc."","Director & Chairman/CEO","John Robert Lancaster","Partner","Teeley Pole Assets GP","2016","Chairman & CEO First Freedom Bank","3807899"
"First Freedom Bancshares,"Inc."","Director & Chairman Emeritus","Kenneth Cecil Howell","n/a","n/a","2016","Chairman Emeritus of First Freedom Bank","3807899"
"First Freedom Bancshares,"Inc."","Director & President/COO","John High Bradshaw","Partner","JB Realty","2016","President,"COO & CLO of First Freedom Bank"","3807899"
"First Freedom Bancshares,"Inc."","Director","Robert Cameron Woods","Member","St. Thomas Heart Group","2016","Physician","3807899"
"First Freedom Bancshares,"Inc."","Director","Veronica Rochell Bender","Principal","Friendship Christian Middle School","2016","Educator","3807899"
"First Freedom Bancshares,"Inc."","Director","Charles Richard Haskins","Co-owner","Lebanon Chemical,"Inc."","2016","Farmer / Chemical Supply Co. Owner","3807899"
"First Freedom Bancshares,"Inc."","Director","Jackie Waldon Gaither","Owner & Affiliate Broker","Cumberland Real Estate & Auction","2016","Realtor","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Sellars Funeral Home","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Sellars Crematory","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Mt. Juliet Funeral Home","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Mt. Juliet Cemetery","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Sellars Commemorative Solutions","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Sellars Hendersonville","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Alexander Funeral Home","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Matthew Juddson Sellars","Owner","Sellars Park","2016","Funeral Director","3807899"
"First Freedom Bancshares,"Inc."","Director","Randy Gill Laine","Engineer","City of Lebanon","2016","Engineer","3807899"
"First Freedom Bancshares,"Inc."","Director","Hardie Vaughan Sorrels","Private Practice","Hardie V. Sorrells,"MD","PC"","2016","Physician","3807899"
"First Freedom Bancshares,"Inc."","Director","Donald Madison Turner","Retired President of Cracker Barrel","Cracker Barrel Old Country Stores,"Inc."","2016","Real Estate Investor","3807899"
"First Freedom Bancshares,"Inc."","CFO","Michael R. Wiggington","n/a","n/a","2016","CFO of First Freedom Bank","3807899"
```
