Here are the two tables extracted from the document in CSV format as requested:
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Patterson Bankshares,"Inc."","President,"CEO","and Board Chairman"","Hager,"Daniel S."","n/a","n/a","2023","Bank Executive","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Managing Partner","Spence Limited,"LP"","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Member","JH Property Investments LLC","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Director and Vice-Chairman","Cecil Bank/Cecil Bancorp","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Director","Gateway Bank,"FSB"","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Director","Signature Bank of Georgia","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Director","Signature Bank of Arkansas,"White River Bancshares"","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Director","InsBank/InsCorp","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Lundt,"Hope Willard"","Director","42North Private Bank/42North Private Holdings","2023","Investment Manaer","n/a"
"Patterson Bankshares,"Inc."","Director","Godby,"Michael"","n/a","n/a","2023","Registered RepJanney Montgomery Scott","n/a"
"Patterson Bankshares,"Inc."","Director","Hull,"James D."","n/a","n/a","2023","Retired","n/a"
"Patterson Bankshares,"Inc."","Director","Ierardi,"Joseph"","n/a","n/a","2023","President/CEO - Wayne Memorial Hospital","n/a"
"Patterson Bankshares,"Inc."","Director","Lee,"David I."","n/a","n/a","2023","Retired","n/a"
"Patterson Bankshares,"Inc."","Director","Drawdy,"Dr. Jon"","President / Owner","Jon A. Drawdy,"DMD PC"","2023","Dentist","n/a"
"Patterson Bankshares,"Inc."","Director","Drawdy,"Dr. Jon"","Owner","DMD Property Management,"LLC"","2023","Dentist","n/a"
"Patterson Bankshares,"Inc."","Director","Drawdy,"Dr. Jon"","Owner","DMD Investment Properties,"LLC"","2023","Dentist","n/a"
"Patterson Bankshares,"Inc."","Director","Smith,"Robert B."","President","Pine Forest Land Company,"Inc."","2023","Lawyer","n/a"
"Patterson Bankshares,"Inc."","n/a","Smith,"Robert B."","Partner","Smith,"Phelps and Murray Law Firm"","2023","Lawyer","n/a"
"Patterson Bankshares,"Inc."","Director","Rehfeldt,"Terry"","Managing Member","Rehfeldt Wealth Management","2023","CPA/Financial Advisor","n/a"
"Patterson Bankshares,"Inc."","n/a","Rehfeldt,"Terry"","President","Rehfeldt Enterprises,"Inc."","2023","CPA/Financial Advisor","n/a"
"Patterson Bankshares,"Inc."","n/a","Rehfeldt,"Terry"","Managing Member","Rehfeldt and Son's I,"LLC."","2023","CPA/Financial Advisor","n/a"
"Patterson Bankshares,"Inc."","n/a","Rehfeldt,"Terry"","Managing Member","Rehfeldt and Son's II,"LLC."","2023","CPA/Financial Advisor","n/a"
"Patterson Bankshares,"Inc."","Director","Wildstein,"Alan"","President","Alan Jay Chevrolet of Avon Park","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Ford Lincoln Mercury,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Nissan,"Inc"","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Auto Rentals,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Clewiston Motor Company","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Miami Shores Automotive,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Chevrolet-Cadillac,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Chrysler Jeep,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Import Center,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Tampa Bay Luxury Imports,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Sebring Commercial Investments","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Automotive Management,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Ford of Wauchula,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Alan Jay Enterprises of Wauchula,"Inc."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","AW Imports,"LLC"","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Partner","Alan Jay Family Limited Partnership","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","YC Ventures,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Florida Crew Services,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","ACTA Wine,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","California Wine Ventures,"LLC"","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","CA Land Holdings,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Dearborn and Holding,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","Mac Land Holdings,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","President","AW Land Holdings,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Macomb Imports,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Dearborn Imports,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Canton Imports,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","AW Imports,"LLC"","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Spice Racing","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Motorkart,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","OC Chopper Holdings,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Wildstein Brothers Development,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Wildstein Brothers,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Miami Shores Towning,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Sebring Aviation Services,"LLC."","2023","Automotive Dealer","n/a"
"Patterson Bankshares,"Inc."","n/a","Wildstein,"Alan"","Managing Member","Alan Jay Aviation Services,"LLC."","2023","Automotive Dealer","n/a"
```
