"Here are the two tables in CSV format","following your instructions:"
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"PCNB CORP.","Summit,"MS"","2018","Jennifer S. Wallace","Common Stock","73228","13.049%","n/a"
"PCNB CORP.","Brandon,"MS"","2018","John Ellis Solomon,"Sr."","Common Stock","44429","7.917%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"PCNB CORP.","Director","James L. Alford","President","JEKE,"Inc"","2018","Oil & Gas Exploration","n/a"
"PCNB CORP.","Director","James L. Alford","President","Wilson Exploration","2018","Oil & Gas Exploration","n/a"
"PCNB CORP.","Director","James L. Alford","Member","South Carlton,"LLC"","2018","Oil & Gas Exploration","n/a"
"PCNB CORP.","CEO","E. James Wicker","Managing Partner","Live Oak Properties,"LLC"","2018","n/a","n/a"
"PCNB CORP.","Executive Vice President","Diane H. Cothern","Member","Live Oak Properties,"LLC"","2018","n/a","n/a"
"PCNB CORP.","Director","Keith A. White","Member","WM Food Service of Brookhaven,"Inc."","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","KRW Real Estate,"LLC"","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","K Brook Properties,"LLC"","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","White and Sons,"Inc."","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","Covenant Resources","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","McComb Gym,"Inc."","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","Red Star Auto Brokers,"Inc."","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","Appex Properties LLC","2018","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","L. Lamar Murrell","Owner","Selmans Jewelers-Gemologist,"Inc."","2018","Jeweler & Gemeologist","n/a"
"PCNB CORP.","President","Jennifer S. Wallace","Managing member","Sones3 Enterprises,"LLC"","2018","n/a","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Life's A Beach,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Winner,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","C-Lab Watch","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","C-VGWS,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","C Core Energy Mgmt Co,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Live Oak Properties,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Ellis Holdings Company,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Byram Parkway,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","JBJ,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Adara Watch,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Big Italian,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Power Watch,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Ellis Entergy,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Flowood Office,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Freshmade,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Mattice Office Company,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary","John Ellis Solomon","Director","Revolution Chicago,"LLC"","2018","Real Estate,"Oil & Gas"","n/a"
```
