Here are the requested CSV tables:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Peoples Bancshares,"Inc."","Mendenhall,"MS"","2019","Deborah D. Ammann","Common","4705.00","7.84%","n/a"
"Peoples Bancshares,"Inc."","Dauphin Island,"AL"","2019","Jean D. Cockrell","Common","6185.00","10.31%","n/a"
"Peoples Bancshares,"Inc."","Coral Gables,"FL"","2019","Margaret D. Steinberger Revocable Trust","Common","6580.00","10.97%","n/a"
"Peoples Bancshares,"Inc."","Magee,"MS"","2019","Phillip R. Davis","Common","6665.00","11.11%","n/a"
"Peoples Bancshares,"Inc."","Charleston,"SC"","2019","Brad Davis","Common","5187.25","8.65%","n/a"
"Peoples Bancshares,"Inc."","Atlanta,"GA"","2019","S. Dee Davis,"III"","Common","4323.25","7.21%","n/a"
"Peoples Bancshares,"Inc."","Atlanta,"GA"","2019","The Sid Davis Trust","Common","3032.00","5.05%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Peoples Bancshares,"Inc."","President/Director","Dennis Ammann","President/Director","Strong River Real Estate,"LLC"","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","President/Director","Dennis Ammann","President/Director","PANNDA,"LLC"","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Chief Operating Officer","Julie Harris","n/a","n/a","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Senior VP","Diann James","n/a","n/a","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Chief Retail Officer","Vicky Dawsey","n/a","n/a","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Senior VP","Chris Caughman","n/a","n/a","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Senior VP","Raymon McAlpin","President","Jackson Motor Speedway,"Inc"","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Director","John Rankin","n/a","ABIACA Point,"LLC"","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Director","John Rankin","n/a","Coal Bluff LLC","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Director","John Rankin","n/a","Genesis Bancorp Inc","2019","n/a","n/a"
"Peoples Bancshares,"Inc."","Senior VP","Doug Rogers","n/a","D&H Cattle,"LLC"","2019","n/a","n/a"
