Here are the two requested CSV tables.
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","McKinley Wilbourn","Common Stock","108400","6.06%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","McKinley Wilbourn","Options","31071","1.74%","n/a"
"Primary Bancshares Corporation","Marietta,"GA"","2022","Mark Scheinfeld","Common Stock","110500","6.18%","n/a"
"Primary Bancshares Corporation","Marietta,"GA"","2022","Mark Scheinfeld","Options","29381","1.64%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","Ramzan Karimi","Common Stock","97500","5.45%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","Ramzan Karimi","Options","29381","1.64%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","Michael Miller","Common Stock","77000","4.30%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","Michael Miller","Options","30226","1.69%","n/a"
"Primary Bancshares Corporation","Bensalem,"PA"","2022","Charles Asensio","Common Stock","69100","3.86%","n/a"
"Primary Bancshares Corporation","Bensalem,"PA"","2022","Charles Asensio","Options","29722","1.66%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","Elmer Smith","Common Stock","65000","3.63%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","Elmer Smith","Options","28874","1.61%","n/a"
"Primary Bancshares Corporation","Atlanta,"GA"","2022","Peter Kim","Common Stock","100000","5.59%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Primary Bancshares Corporation","Director","McKinley Wilbourn","Director","Mack II,"Inc"","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Mark Scheinfeld","Director","SCC Atlanta,"Inc"","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Mark Scheinfeld","Director","SCC Construction,"Inc"","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Mark Scheinfeld","Director","SFR Properties LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Mark Scheinfeld","Director","MAS LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Mark Scheinfeld","Director","Right Smile Center LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Mark Scheinfeld","Director","Mark A Scheinfeld LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","M2Z2,"LLC"","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","Tunica Properties","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","4639,"LLC"","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","1705 LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","Evergreen Properties","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","Evergreen East","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","Evergreen Boat Rock LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","M2Z2 COM Inc","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Ramzan Karimi","Director","GA Commercial Stores","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Michael Miller","Director","Nationwide Investments LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Michael Miller","Director","Miller Management Inc","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Michael Miller","Director","2000 Satellite Partnership","2022","NA","n/a"
"Primary Bancshares Corporation","Director & Chairman","H Boyd Pettit III","Director & Chairman","H Boyd Pettit III,"PC"","2022","NA","n/a"
"Primary Bancshares Corporation","Director & Chairman","H Boyd Pettit III","Director & Chairman","Georgia Link Public Affairs Group","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Charles Asensio","Director","Snapfinger Plaza","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Charles Asensio","Director","Alexandria Ventures","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Elmer Smith","Director","Interactive Learning Systems Inc","2022","NA","n/a"
"Primary Bancshares Corporation","Director","Elmer Smith","Director","5303 New Peachtree Road & Zackmax Enterprises LLC","2022","NA","n/a"
"Primary Bancshares Corporation","Director & President","David R Coxon","Director,"President & Chief Executive Officer"","n/a","2022","NA","n/a"
"Primary Bancshares Corporation","Chief Financial Officer","Jane Skelton","SR Executive VP & Chief Financial Officer","n/a","2022","NA","n/a"
"Primary Bancshares Corporation","Vice President","James LeBow","SR Executive VP & Chief Credit Officer","Pine Ridge Investments Limited Partnership","2022","NA","n/a"
"Primary Bancshares Corporation","Vice President","James LeBow","SR Executive VP & Chief Credit Officer","Beaslebow,"LLC"","2022","NA","n/a"
```
