"Here are the two tables in CSV format","as requested:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"RCB Financial Corporation","Rome,"GA"","2018","Michael W Mathis","Common Stock","237169","11.12%","n/a"
"RCB Financial Corporation","Rome,"GA"","2018","Michael W Mathis,"Sharon Mathis","Will Mathis","Mark Mathis","Victoria Mathis and N Von Lambert (a group)"","Common Stock","275644","12.93%","n/a"
"RCB Financial Corporation","Rome,"GA"","2018","Mark Edward Brewster,"Stephen Holt Brewster","Edward W. Brewster","Barbara Brewster (a group)"","Common Stock","177600","8.3%","n/a"
"RCB Financial Corporation","Rome,"GA"","2018","Jarrett E. Shadday,"Holly Dudley Shadday","Jimmie G Dudley Jr","Marsha S. Dudley","Jimmie Gadsen Dudley III","Allison S Dudley (a group)"","Common Stock","143436","6.7%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"RCB Financial Corporation","Director and Chairman","C. King Askew","Managing Partner","Brinson,"Askew","Berry","LLP"","2018","Attorney","n/a"
"RCB Financial Corporation","Director and Chairman","C. King Askew","Member","BAB Real Estate,"LLC"","2018","Attorney","n/a"
"RCB Financial Corporation","Director and Chairman","C. King Askew","President","C.King Askew,"P.C."","2018","Attorney","n/a"
"RCB Financial Corporation","Director and Chairman","C. King Askew","Member","Rome BAMS,"LLC"","2018","Attorney","n/a"
"RCB Financial Corporation","Director","Paula D. Englis","Professor","Mind/Share,"Inc"","2018","Professor","n/a"
"RCB Financial Corporation","CCO","T. Grant Espy","n/a","n/a","2018","n/a","n/a"
"RCB Financial Corporation","Director","Wilson Ben Garrett","Pres/CEO","Ra-Lin and Assoc","2018","Construction Co Exec","n/a"
"RCB Financial Corporation","Director","Wilson Ben Garrett","Partner","Linco Realty","2018","Construction Co Exec","n/a"
"RCB Financial Corporation","Director","Wilson Ben Garrett","Partner","Fairview Family Partnership","2018","Construction Co Exec","n/a"
"RCB Financial Corporation","Director","Wilson Ben Garrett","Partner","Paramount Square Managers","2018","Construction Co Exec","n/a"
"RCB Financial Corporation","Director","Wilson Ben Garrett","Director","Kidspeace","2018","Construction Co Exec","n/a"
"RCB Financial Corporation","Director","William Barritt Gilbert","President","Harbin Properties LLC","2018","Urologist","n/a"
"RCB Financial Corporation","Director","William Barritt Gilbert","Member","EPIC","2018","Urologist","n/a"
"RCB Financial Corporation","Director","William Barritt Gilbert","Member","AFF","2018","Urologist","n/a"
"RCB Financial Corporation","Director","William Barritt Gilbert","Member","M16","2018","Urologist","n/a"
"RCB Financial Corporation","Director","William Barritt Gilbert","Member","Dixie Chicken","2018","Urologist","n/a"
"RCB Financial Corporation","Director","Darrell G. Lowrey","Pres/Co-Owner","Enchanted Properties","2018","Retired Orthopedic Surgeon","n/a"
"RCB Financial Corporation","Director","Darrell G. Lowrey","Co-Owner,"VP"","Bar Nothing Ranch,"LLC"","2018","Retired Orthopedic Surgeon","n/a"
"RCB Financial Corporation","Director","Darrell G. Lowrey","Co-Owner,"VP"","Low Stutts,"LLC"","2018","Retired Orthopedic Surgeon","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Director","Community Foundation for Greater Rome","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Director","Rome Home Builders Association","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","President","Mathis Builders Hrdwre & Supply Inc","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","President","CREW Investments","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Owner","Third Strike for Mathis Inc","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Owner","Capital Conservation Consultants LLC","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Owner","South 35","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Owner","Mile Marker 78","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Owner","Mile Marker 79","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Owner","Exit 77","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","Owner","Shooter 6","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Mathis Brothers Hrdwre LLC","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Blue Marlin","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","West 10th Street Prop","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Chulio Land Co","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Battlefield Bldg Supply Co","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Mathis & Mathis Holding Co","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Mile Marker 80","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Flat Lake 7","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Haybarn 8","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Valley View 9","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Flat Rock Prtnrs","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Mountain Lake Pasture 2","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Rocky Lane 3","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Silage 4","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Cut Over Brow 5","2018","Real Estate Investor","n/a"
"RCB Financial Corporation","Director","Michael W. Mathis","LLC Partner/Member","Triple Beam Mgmt Consultants","2018","Real Estate Investor","n/a"
