Here are the requested CSV tables extracted from the provided documents:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","William R. Faulk","Common Stock","39295","31.05%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Beth Branch","Common Stock","21563","17.04%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Yvonne Pichelmayer","Common Stock","13406","10.59%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Terry Harbin","Common Stock","10091","7.97%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Kellie Johnson","Common Stock","9430","7.45%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Patricia Wren","Common Stock","8694","6.87%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Kim Flynn","Common Stock","7878","6.23%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Southern Community Bancshares,"Inc"","Common Stock","126541","25.00%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","William R. Faulk","Common Stock","48597","9.60%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","W. Daniel Keel","Common Stock","37835","7.48%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Arab,"Alabama"","2017","Gerald L. Jones","Common Stock","26197","5.18%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Ronald P. Martin","Common Stock","32620","6.45%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Culiman,"Alabama"","2017","Yvonne Pichelmayer","Common Stock","31150","6.16%","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC"","Cullman,"Alabama"","2017","Finis E. St. John,"IV"","Common Stock","48307","9.55%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"SOUTHERN COMMUNITY BANCSHARES,"INC EMPLOYEE STOCK OWNERSHIP PLAN"","TRUSTEE","FINIS E. ST. JOHN,"IV"","DIRECTOR","CULLMAN ENVIRONMENTAL,"INC."","2017","ATTORNEY","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC EMPLOYEE STOCK OWNERSHIP PLAN"","TRUSTEE","FINIS E. ST. JOHN,"IV"","OWNER","ST. JOHN AND ST. JOHN","2017","ATTORNEY","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC EMPLOYEE STOCK OWNERSHIP PLAN"","SECRETARY","BETH BRANCH","MEMBER","CDB,"LLC"","2017","n/a","n/a"
"SOUTHERN COMMUNITY BANCSHARES,"INC EMPLOYEE STOCK OWNERSHIP PLAN"","CFO","BETH BRANCH","n/a","n/a","2017","n/a","n/a"
