"Here are the two CSV tables extracted from the document","following your instructions."
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"SunTrust Banks,"Inc."","New York,"NY"","2014","BlackRock,"Inc."","common shares","51286867","9.71%","n/a"
"SunTrust Banks,"Inc."","Boston,"MA"","2014","FMR LLC","common shares","30409469","5.76%","n/a"
"SunTrust Banks,"Inc."","Malvern,"PA"","2014","The Vanguard Group","common shares","27007223","5.11%","n/a"
"SunTrust Bank Holding Company","Atlanta,"GA"","2014","SunTrust Banks,"Inc."","common shares","100","100%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"SunTrust Banks,"Inc."","Director","Robert M. Beall,"II"","Director","Beall's,"Inc."","2014","Chairman","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & Chief Human Resources Officer","Kenneth J. Carrig","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & Wholesale Banking Executive","Mark A. Chancy","Director","SunTrust Robinson Humphrey,"Inc."","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & Chief Information Officer","Anil T. Cheriyan","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & Consumer Banking","Bradford R. Dinsmore","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & General Counsel & Corporate Secretary","Raymond D. Fortin","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & Chief Risk Officer","Thomas E. Freeman","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Director","Paul R. Garcia","Director","Dun & Bradstreet Corporation","2014","Former Chairman & CEO","n/a"
"SunTrust Banks,"Inc."","Director","Paul R. Garcia","Director","West Corporation","2014","Former Chairman & CEO","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & Chief Financial Officer","Aleem Gillani","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Director","David H. Hughes","Director","Hughes,"Inc"","2014","Former Chairman & CEO","n/a"
"SunTrust Banks,"Inc."","Director","David H. Hughes","Owner","BH Aviation,"LLC"","2014","Former Chairman & CEO","n/a"
"SunTrust Banks,"Inc."","Director","David H. Hughes","Owner","525-0633,"LLC"","2014","Former Chairman & CEO","n/a"
"SunTrust Banks,"Inc."","Director","M. Douglas Ivester","Chairman","Woodruff Health Sciences Center,"Inc."","2014","President","n/a"
"SunTrust Banks,"Inc."","Corporate EVP & Chief Marketing Officer","Susan S. Johnson","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Director","Kyle P. Legg","Director","Brown Advisory Funds PLC","2014","Former President & CEO","n/a"
"SunTrust Banks,"Inc."","Director","Kyle P. Legg","Director","OMAN PLC","2014","Former President & CEO","n/a"
"SunTrust Banks,"Inc."","President & Chief Executive Officer","Jerome T. Lienhard,"II"","n/a","n/a","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Director","William A. Linnenbringer","n/a","n/a","2014","Retired Partner","n/a"
"SunTrust Banks,"Inc."","Director","Donna S. Morea","Director","CSX Corporation","2014","Retired President","n/a"
"SunTrust Banks,"Inc."","Director","Donna S. Morea","Owner","Adesso Group LLC","2014","Retired President","n/a"
"SunTrust Banks,"Inc."","Director","David M. Ratcliffe","Director","SAIC Group","2014","Retired Chairman","n/a"
"SunTrust Banks,"Inc."","Director","David M. Ratcliffe","Owner","Adesso Group LLC","2014","Retired Chairman","n/a"
"SunTrust Banks,"Inc."","Chairman and Chief Executive Officer","William H. Rogers,"Jr."","Director","Federal Reserve Bank of Atlanta","2014","n/a","n/a"
"SunTrust Banks,"Inc."","Director","Frank P. Scruggs,"Jr."","n/a","n/a","2014","Partner","n/a"
"SunTrust Banks,"Inc."","Director","Thomas R. Watjen","n/a","n/a","2014","President & CEO","n/a"
"SunTrust Banks,"Inc."","Director","Dr. Phail Wynn,"Jr."","n/a","North Carolina Mutual Life Insurance Co.","2014","Vice President","n/a"
```
