"Here are the two tables extracted from the document","formatted as requested:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"TriStar Bancshares,"Inc"","Nashville,"TN"","2021","Stuart Speyer","Common Stock","163,"740"","13.65%","n/a"
"TriStar Bancshares,"Inc"","Dickson,"TN"","2021","Jerry V. Smith","Common Stock","59,"423"","6.53%","n/a"
"TriStar Bancshares,"Inc"","Dickson,"TN"","2021","Ted Williams","Common Stock","101,"204"","8.43%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"TriStar Bancshares,"Inc"","President and CEO","Ted Williams","n/a","Williams Cattle and Farm","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","President and CEO","Ted Williams","n/a","Williams Real Estate","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","President and CEO","Ted Williams","n/a","The Jackson Foundation","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","President and CEO","Ted Williams","Trustee & Vice Chairman","Freed Hardeman University","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","Director","Harvey Church","n/a","n/a","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","Director and Executive Vice President","Robby Harmon","n/a","n/a","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","Executive Vice President","Becky Ragan","n/a","n/a","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","Executive Vice President","Sharon Ferrell","n/a","n/a","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","Chief Financial Officer","George Schneider","n/a","n/a","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","Director","Melissa Street","n/a","n/a","2021","n/a","n/a"
"TriStar Bancshares,"Inc"","Director","Stuart Speyer","n/a","Tennsco LLC","2021","Manufacturing Company Tennsco","n/a"
"TriStar Bancshares,"Inc"","Director","Stuart Speyer","n/a","Stuart Family Trust","2021","Manufacturing Company Tennsco","n/a"
"TriStar Bancshares,"Inc"","Director","Stuart Speyer","n/a","Tennessee Brew Works LLC","2021","Manufacturing Company Tennsco","n/a"
"TriStar Bancshares,"Inc"","Director","Stuart Speyer","n/a","Tennessee Brew Holdings LLC","2021","Manufacturing Company Tennsco","n/a"
"TriStar Bancshares,"Inc"","Director","Jerry Smith","n/a","Jerry Smith Attorney at Law","2021","Attorney at Law","n/a"
"TriStar Bancshares,"Inc"","Director","Linda P Hayes","n/a","n/a","2021","Retired Teacher","n/a"
"TriStar Bancshares,"Inc"","Director","D. Wilson Overton","n/a","D. Wilson Overton CPA-owner","2021","CPA","n/a"
"TriStar Bancshares,"Inc"","Director","D. Wilson Overton","n/a","D. Wilson Overton Rental-owner","2021","CPA","n/a"
"TriStar Bancshares,"Inc"","Director","Paul G. Summers","n/a","Sommers Farm,"Fayette County","TN"","2021","Attorney at Law","n/a"
"TriStar Bancshares,"Inc"","Director","Kevin Smith","n/a","Benefits Inc","2021","Benefits Consultant","n/a"
"TriStar Bancshares,"Inc"","Director","Kevin Smith","n/a","Morrison,"Fuson","Smith","White","Benefits Inc"","2021","Benefits Consultant","n/a"
"TriStar Bancshares,"Inc"","Director","Kevin Smith","n/a","Jack B. Turner & Associates,"Inc."","2021","Benefits Consultant","n/a"
"TriStar Bancshares,"Inc"","Director","Kevin Smith","n/a","Innovative Benefits Group LLC","2021","Benefits Consultant","n/a"
"TriStar Bancshares,"Inc"","Director","Kevin Smith","n/a","Weiss,"Smith and White GP"","2021","Benefits Consultant","n/a"
"TriStar Bancshares,"Inc"","Director","Kevin Smith","n/a","W&W Properties","2021","Benefits Consultant","n/a"
"TriStar Bancshares,"Inc"","Director","Brian Ragan","n/a","Reynolds,"Potter","Ragan & Vandivort"","2021","Attorney at Law","n/a"
"TriStar Bancshares,"Inc"","Director","Brian Ragan","n/a","RPR&V Real Estate Partnership","2021","Attorney at Law","n/a"
"TriStar Bancshares,"Inc"","Director","Brian Ragan","n/a","Ragan Brothers,"a Tennessee GP"","2021","Attorney at Law","n/a"
"TriStar Bancshares,"Inc"","Director","Brian Ragan","n/a","Merchants of East Hills,"a Tennessee GP"","2021","Attorney at Law","n/a"
"TriStar Bancshares,"Inc"","Director","John King","n/a","King's Enterprises,"Inc."","2021","Business Owner","n/a"
"TriStar Bancshares,"Inc"","Director","John King","n/a","King's Firearms and more,"LLC"","2021","Business Owner","n/a"
"TriStar Bancshares,"Inc"","Director","John King","n/a","King's Firearms Online,"LLC"","2021","Business Owner","n/a"
"TriStar Bancshares,"Inc"","Director","John King","n/a","King's Imports,"LLC"","2021","Business Owner","n/a"
"TriStar Bancshares,"Inc"","Director","John King","n/a","King's Land,"LLC"","2021","Business Owner","n/a"
"TriStar Bancshares,"Inc"","Director","John Law","n/a","C&L Farms Partnership","2021","Retired Insurance Executive","n/a"
```
