Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
FIDELITY SOUTHERN CORPORATION,Director,"William C Lankford,Jr.",Member,Atlanta Estate Planning Council,2017,Accounting,
FIDELITY SOUTHERN CORPORATION,Chairman & CEO,"James B Miller,Jr",Managing Member,Trinity Apex,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman,"James B Miller,Jr",Trustee,Karina L. Miller Trust UW,2017,,
FIDELITY SOUTHERN CORPORATION,CEO,"James B Miller,Jr",Managing Partner,BAC Properties Partnership LLP,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Sole Proprietor,Prescott Capital LLC,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Director,"Interface,Inc",2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Director,"American Software,Inc.",2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Board of Advisors,Michael C. Carlos Museum,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Board of Advisors,State Botanical Garden of GA,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Board of Advisors,Vanderbilt Law National Council,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Board Member,Atlanta USO,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Director,Buckhead Coalition,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Director,Atlanta Opera,2017,,
FIDELITY SOUTHERN CORPORATION,Chairman - LionMark Ins Co,"James B Miller,Jr",Lifetime Honorary Board Member,Frazer Center,2017,,
FIDELITY SOUTHERN CORPORATION,Director & President,"H. Palmer Proctor,Jr",Managing Partner,"Brevard Holdings,LLC",2017,,
FIDELITY SOUTHERN CORPORATION,CEO,"H. Palmer Proctor,Jr",Managing Partner,Rushing Brook Properties,2017,,
FIDELITY SOUTHERN CORPORATION,Director & Secretary/Treasurer,"H. Palmer Proctor,Jr",Co Trustee,The Brooks County Irrevocable Trust dated 12/29/1993,2017,,
FIDELITY SOUTHERN CORPORATION,Director & Secretary/Treasurer,"H. Palmer Proctor,Jr",Trustee,Katherine Lane Miller Irrevocable Trust dated 7/25/2013,2017,,
FIDELITY SOUTHERN CORPORATION,Director & Secretary/Treasurer,"H. Palmer Proctor,Jr",Director,"Brown and Brown,Inc",2017,,
FIDELITY SOUTHERN CORPORATION,Director & Secretary/Treasurer,"H. Palmer Proctor,Jr",Advisory Board,Allied Financial,2017,,
FIDELITY SOUTHERN CORPORATION,Director & Secretary/Treasurer,"H. Palmer Proctor,Jr",Chairman/Director,Georgia Bankers Association,2017,,
FIDELITY SOUTHERN CORPORATION,Director & Secretary/Treasurer,"H. Palmer Proctor,Jr",Director,Choate Construction,2017,,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",President,Toco Development Inc,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Controlling Manager,WCS Investment Partnership LLLP,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Member,Eastpark 78 LLC,2017,Construction & Real Estate,
