```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Lowndes Bancshares,"Inc."","Morven,"GA"","2018","John W. Langdale,"Jr."","n/a","12600","49.8%","n/a"
"Lowndes Bancshares,"Inc."","Valdosta,"GA"","2018","John W. Langdale,"III"","n/a","12600","49.8%","n/a"
"Lowndes Bancshares,"Inc."","n/a","2018","John W. Langdale,"Jr. and John W. Langdale","III as Co-Trustees of Trust B-1 FBO Harley Langdale","Jr. and the Descendants of John W. Langdale dated December 30","2009"","n/a","100","0.4%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Chairman"","Southland Forest Products,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Industries,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Forest Products Co.","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Lanco Trucking,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Composite Materials Technology,"LLC"","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Fuel Co.","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langboard,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Operating Manager","TLC Land,"LLC"","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","The Val d'Aosta Company","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Industrial Cutting Tools,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","TLC Building Components,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Tire Co.","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","TLC Millwork,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Naval Stores Suppliers,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","CBC Capital,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Chevrolet,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Operating Manager","Langdale Powersports,"LLC"","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Automotive of Manchester,"Inc."","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Operating Manager","Kinderlou Forest Golf Club,"LLC"","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","MJL Surety Co.","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Chairman,"President"","Langdale Timber Company","2018","Operating Manager","n/a"
"Commercial Banking Company","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","TLC Benefit Solutions,"Inc."","2018","Operating Manager","n/a"
