```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Amerant Bancorp Inc.","Coral Gables,"FL"","2020","Amerant Bancorp Inc.","Common Stock","125769788","n/a","n/a"
"Amerant Florida Bancorp INC.","Caracas,"Venezuela"","2020","Vollmer Family","Class A Shares","3439207","11.94%","n/a"
"Amerant Florida Bancorp INC.","San Mateo,"Estado Aragua","Venezuela"","2020","Gustavo J. Vollmer A.","Class A Shares","1736032","6.02%","n/a"
"Amerant Florida Bancorp INC.","Caracas,"Venezuela"","2020","Capriles Family","Class A Shares","3212970","11.15%","n/a"
"Amerant Florida Bancorp INC.","Caracas,"Venezuela"","2020","ALTAMIS B.V.","Class A Shares","2157037","7.45%","n/a"
"Amerant Florida Bancorp INC.","Caracas,"Venezuela"","2020","Miguel A. Capriles L","Class A Shares","2161833","7.47%","n/a"
"Amerant Florida Bancorp INC.","Caracas,"Venezuela"","2020","Marturet Family","Class A Shares","3670487","12.74%","n/a"
"Amerant Florida Bancorp INC.","Caracas,"Venezuela"","2020","Maturet Medina Family","Class A Shares","2210259","7.67%","n/a"
"Amerant Florida Bancorp INC.","Caracas,"Venezuela"","2020","Diana Medina de Marturet","Class A Shares","1868653","6.49%","n/a"
"Amerant Florida Bancorp INC.","Radnor,"PA"","2020","PATRIOT FINANCIAL PARTNERS,"L.P."","Class A Shares","2078289","7.21%","n/a"
"Amerant Florida Bancorp INC.","New York,"NY"","2020","BLACKROCK,"INC."","Class A Shares","1633698","5.67%","n/a"
"Amerant Florida Bancorp INC.","New York,"NY"","2020","PERRY CREEK CAPITAL,"L.P."","Class A Shares","1398711","4.86%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Director","Cicera Group,"LLC."","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Manager","J&G Florida Properties,"LLC."","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Manager","Alcazar Development Group LLC.","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Manager","Alcazar Development Group II LLC.","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Manager","Alcazar Development group III LLC.","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Manager","Alcazar Development group IV LLC.","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Manager","Alcazar Development group V LLC.","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Director of Amerant Bank,"N.A."","Guillermo Villar","Manager","ADG Telecom LLC.","2020","Investor","83638"
"Amerant Florida Bancorp,"Inc."","Vice Chaiman &CEO and Director","Millar Wilson","Manager","Santa Rosa LLC.","2020","n/a","83638"
"Amerant Florida Bancorp,"Inc."","Vice Chaiman &CEO and Director","Millar Wilson","Manager","Josefa LLC.","2020","n/a","83638"
"Amerant Florida Bancorp,"Inc."","Vice Chaiman &CEO and Director","Millar Wilson","Manager","Giralda at Gables LLC.","2020","n/a","83638"
"Amerant Florida Bancorp,"Inc."","Vice Chaiman &CEO and Director","Millar Wilson","Manager","Battersby Golf.","2020","n/a","83638"
"Amerant Florida Bancorp,"Inc."","Director & Chairman of the Board","Frederick C. Copeland Jr","n/a","n/a","2020","Retired","83638"
"Amerant Florida Bancorp,"Inc."","Director","Jose Antonio Villamil","Director","Pan-American Life Insurance Group","2020","Economist","83638"
"Amerant Florida Bancorp,"Inc."","Director","Jose Antonio Villamil","Director","Pan-American Life Center","2020","Economist","83638"
"Amerant Florida Bancorp,"Inc."","Director","Jose Antonio Villamil","Director","Spanish Broadcasting System","2020","Economist","83638"
"Amerant Florida Bancorp,"Inc."","Director","Jose Antonio Villamil","Director","The Beacon Council","2020","Economist","83638"
"Amerant Florida Bancorp,"Inc."","Director","Jose Antonio Villamil","Director","Greater Miami Chamber of Commerce.","2020","Economist","83638"
"Amerant Florida Bancorp,"Inc."","Director","Pamella J. Dana","Director","Triumph Gulf Coast,"Inc."","2020","Chief Officer External Affairs,"Institute for Human & Machine Recognition"","83638"
