```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","William E. Edwards,"III"","Common Stock","391330","6.226%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","Kimberly Edwards,"IRA"","Common Stock","2765","0.044%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","Kimberly Edwards,"Roth IRA"","Common Stock","254","0.004%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","Kimberly Edwards","Common Stock","745","0.012%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","William E. Edwards,"IV"","Common Stock","250","0.004%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","William E. Edwards,"III custodian"","Common Stock","250","0.004%","n/a"
"Mountain Commerce Bancorp,"Inc."","London,"UK"","2021","North Atlantic Smaller Companies Investment Trust,"PLC"","Common Stock","390000","6.205%","n/a"
"Mountain Commerce Bancorp,"Inc."","Chicago,"IL"","2021","Banc Funds Co.,"LLC"","Common Stock","478354","7.610%","n/a"
"Mountain Commerce Bancorp,"Inc."","New York,"NY"","2021","AllianceBernstein LP","Common Stock","417728","6.646%","n/a"
"Mountain Commerce Bancorp,"Inc."","New York,"NY"","2021","Basswood Capital Management LLC","Common Stock","430669","6.852%","n/a"
"Mountain Commerce Bancorp,"Inc."","McLean,"VA"","2021","FJ Capital Management","Common Stock","618339","9.837%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","Wood Investments,"LLC"","Common Stock","276966","4.406%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","S. Franklin Wood","Common Stock","1000","0.016%","n/a"
"Mountain Commerce Bancorp,"Inc."","Johnson City,"TN"","2021","Meredith Wood Seeley Living Trust (sister)","Common Stock","70115","1.115%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Mountain Commerce Bancorp,"Inc."","Vice-Chairman,"President & CEO"","William E. Edwards,"III"","n/a","n/a","2021","N/A","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Wade H. Farmer","Member","Blackburn,"Childers & Steagall","PLC"","2021","CPA/Member","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","SAW,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","SAW II,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Properties,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","HHB Parkside","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Pizza,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Car Wash,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","9 Market Square,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","500 Block","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Emory Place Partners","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Owner","Hatcher Properties,"LC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Winston Road Properties","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Property Management","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Investment Group I","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Investment Group II","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Investment Group III","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Investment Group IV","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Investment Group V","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill II,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill & Associates,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Capital Investment Partners,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Premier Equity Partners,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Asset Management","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Parkside","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Harrison Hatcher Hill,"GP"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Family Investments,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Winston Road,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Parking Group I,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill City House","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill Investment Group IV,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill NV. LLC","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Michael L. Hatcher","Partner","Hatcher Hill EC,"LLC"","2021","CPA/Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director/Executive Officer","Kevin W. Horne","n/a","n/a","2021","N/A","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Samuel L. Widener","President","WINCO,"Inc."","2021","Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Samuel L. Widener","General Partner","Wincrest Properties I","2021","Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Samuel L. Widener","General Partner","Wincrest Properties II","2021","Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Wendell C. Kirk","n/a","n/a","2021","CPA","n/a"
"Mountain Commerce Bancorp,"Inc."","Chairman of the Board Director","Dwight B. Ferguson,"Jr."","Retired President/CEO","Nuclear Fuel Services,"Inc."","2021","N/A","n/a"
"Mountain Commerce Bancorp,"Inc."","Chairman of the Board Director","Dwight B. Ferguson,"Jr."","Member","Tennessee Home,"LLC"","2021","N/A","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","S. Franklin Wood","Owner/Director/Chairman/CEO","Holston Distributing Co.,"Inc."","2021","Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","S. Franklin Wood","Chief Manager/Director","Warehouse Central,"LLC"","2021","Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","S. Franklin Wood","Chief Manager/Director","Truck Central,"LLC"","2021","Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","S. Franklin Wood","Chief Manager/Director","Records Storage and Management Central,"LLC"","2021","Business Owner","n/a"
"Mountain Commerce Bancorp,"Inc."","Director","Douglas A. Yoakley","n/a","n/a","2021","CPA/Business Owner","n/a"
