```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"BBVA USA Bancshares,"Inc."","SPAIN","2020","Banco Bilbao Vizcaya Argentaria,"S.A."","common stock","222963891","100.00%","n/a"
"BBVA USA Bancshares,"Inc."","SPAIN","2020","Banco Bilbao Vizcaya Argentaria,"S.A."","common stock","222963891","100.00%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"BBVA USA Bancshares,"Inc."","Director,"President and Chief Executive Officer"","Javier Rodriguez Soler","n/a","n/a","2020","n/a"
"BBVA USA Bancshares,"Inc."","Director","J. Terry Strange","Retired,"Former Vice Chairman","KPMG","LLP","and former Global Managing Partner of the Audit Practice"","n/a","2020","Non-Executive Chairman of the Board","n/a"
"BBVA USA Bancshares,"Inc."","Non-Executive Chairman of the Board","J. Terry Strange","General Partner","S&S Partners","2020","Non-Executive Chairman of the Board","n/a"
"BBVA USA Bancshares,"Inc."","Non-Executive Chairman of the Board","J. Terry Strange","Director","New Jersey Resources Corporation","2020","Non-Executive Chairman of the Board","n/a"
"BBVA USA Bancshares,"Inc."","Non-Executive Chairman of the Board","J. Terry Strange","Director","Group 1 Automotive","2020","Non-Executive Chairman of the Board","n/a"
"BBVA USA Bancshares,"Inc."","Non-Executive Chairman of the Board","J. Terry Strange","Director","Newfield Exploration Company","2020","Non-Executive Chairman of the Board","n/a"
"BBVA USA Bancshares,"Inc."","Vice Chairman of the Board","William Helms","n/a","n/a","2020","n/a"
"BBVA USA Bancshares,"Inc."","Director","Onur Genç","CEO,"BBVA Group"","n/a","2020","CEO,"BBVA Group"","n/a"
"BBVA USA Bancshares,"Inc."","Director","Eduardo Aguirre,"Jr."","Former United States Ambassador to the Kingdom of Spain and the Principality of Andorra","n/a","2020","n/a","n/a"
"BBVA USA Bancshares,"Inc."","Director","Eduardo Aguirre,"Jr."","Chairman and CEO","Atlantic Partners Group,"LLC"","2020","n/a","n/a"
"BBVA USA Bancshares,"Inc."","Director","Eduardo Aguirre,"Jr."","n/a","Texas Children's Hospital","2020","n/a","n/a"
"BBVA USA Bancshares,"Inc."","Director","Eduardo Aguirre,"Jr."","n/a","Greater Houston Partnership","2020","n/a","n/a"
"BBVA USA Bancshares,"Inc."","Director","Juan Asua Madariaga","Former Head of Corporate & Investment Banking,"BBVA Group"","n/a","2020","n/a","n/a"
"BBVA USA Bancshares,"Inc."","Director","Shelaghmichael Brown","Retired,"Former Head of Retail Banking","BBVA Compass"","n/a","2020","n/a","n/a"
"BBVA USA Bancshares,"Inc."","Director","Shelaghmichael Brown","n/a","Weingarten Realty","2020","n/a","n/a"
"BBVA USA Bancshares,"Inc."","Director","Charles E. McMahen","Rancher","n/a","2020","Rancher","n/a"
"BBVA USA Bancshares,"Inc."","Director","Charles E. McMahen","Owner","2S Ranch - Sole Proprietorship","2020","Rancher","n/a"
"BBVA USA Bancshares,"Inc."","Director","Charles E. McMahen","Managing Partner","El Mirador Ranch,"LLC"","2020","Rancher","n/a"
"BBVA USA Bancshares,"Inc."","Director","Charles E. McMahen","Director","Enterprise Products Holdings,"LLC"","2020","Rancher","n/a"
"BBVA USA Bancshares,"Inc."","Director","Jorge Saenz-Azcunaga","Executive Officer - Country Monitoring,"BBVA Group"","n/a","2020","Executive Officer - Country Monitoring,"BBVA Group"","n/a"
"BBVA USA Bancshares,"Inc."","Director","Jorge Saenz-Azcunaga","n/a","BBVA Bancomer (Mexico)","2020","Executive Officer - Country Monitoring,"BBVA Group"","n/a"
"BBVA USA Bancshares,"Inc."","Director","Jorge Saenz-Azcunaga","n/a","Garanti Bank (Turkey)","2020","Executive Officer - Country Monitoring,"BBVA Group"","n/a"
"BBVA USA Bancshares,"Inc."","Director","Mario Max Yzaguirre","Business Owner/Consulting Firm","n/a","2020","Business Owner/Consulting Firm","n/a"
"BBVA USA Bancshares,"Inc."","Director","Mario Max Yzaguirre","President","The Yzaguirre Group,"LLC"","2020","Business Owner/Consulting Firm","n/a"
"BBVA USA Bancshares,"Inc."","Director","Mario Max Yzaguirre","President","Windy Hills Properties,"LLC"","2020","Business Owner/Consulting Firm","n/a"
"BBVA USA Bancshares,"Inc."","Director","Mario Max Yzaguirre","Partner","Yzaguirre Family Limited Partnership #1","2020","Business Owner/Consulting Firm","n/a"
"BBVA USA Bancshares,"Inc."","Director","Mario Max Yzaguirre","Member","Yzaguirre LLC #1","2020","Business Owner/Consulting Firm","n/a"
"BBVA USA Bancshares,"Inc."","Director","Mario Max Yzaguirre","CEO","Forbes Bros.,"Inc."","2020","Business Owner/Consulting Firm","n/a"
"BBVA USA Bancshares,"Inc."","Director","Mario Max Yzaguirre","Chairman & CEO","Forbes Bros. Timberline Construction,"Inc."","2020","Business Owner/Consulting Firm","n/a"
