```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"CapStar Bank","New York,"NY"","2018","Corsair Capital LLC","Common Stock","532752","2.85%","n/a"
"CapStar Bank","New York,"NY"","2018","Corsair Capital LLC","Preferred Stock","878048","4.70%","n/a"
"CapStar Bank","New York,"NY"","2018","Corsair Capital LLC","Non Voting Common Stock","132561","0.71%","n/a"
"CapStar Bank","Nashville,"TN"","2018","Gaylon M. Lawrence,"Jr."","Common Stock","1156675","6.19%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"CapStar Bank","n/a","Corsair Capital LLC","n/a","n/a","2018","n/a","n/a"
"CapStar Bank","Director","Toby S. Wilt","President","TSW Investments","2018","Financial Planning & Investment","n/a"
"CapStar Bank","Director","Toby S. Wilt","Founding President","The Golf Club of Tennessee","2018","Financial Planning & Investment","n/a"
"CapStar Bank","Director","James S. Turner,"Jr."","Managing Director","Marketstreet Equities Company","2018","Commercial Real Estate","n/a"
"CapStar Bank","Vice Chair of the Board","Julie D. Frist","n/a","n/a","2018","Community Volunteer","n/a"
"CapStar Bank","Chairman of the Board","Dennis C. Bottorff","Managing General Partner","Council Capital Management","2018","Private Equity Investment","n/a"
"CapStar Bank","Director","L. Earl Bentz","President","Triton Boats","2018","Boat Manufacturing & Distribution","n/a"
"CapStar Bank","President
"Chief Executive Officer"","Claire W. Tucker","n/a","n/a","2018","n/a","n/a"
"CapStar Bank","Director","Thomas Flynn","n/a","Flynn Enterprises,"LLC"","2018","Real Estate Investment","n/a"
"CapStar Bank","Director","Louis A. Green,"III"","General Partner","Green & Little","2018","Garment Manufacturing & Distribution","n/a"
"CapStar Bank","Director","Robert B. Anderson","Chairman","Haury & Smith Contractors,"Inc."","2018","n/a","n/a"
"CapStar Bank","Director","Stephen B. Smith","n/a","Healthstream,"Inc."","2018","Retired Banker","n/a"
"CapStar Bank","Director","Richard E. Thornburgh","Senior Advisor","S&P Global Inc.","2018","Financial Services","n/a"
"CapStar Bank","Director","Christopher G. Tietz","n/a","n/a","2018","n/a","n/a"
"CapStar Bank","Director","Jeffrey L. Cunningham","n/a","n/a","2018","n/a","n/a"
"CapStar Bank","Director","Myra NanDora Jenne","Partner","The Jenne Law Firm","2018","Attorney","n/a"
```
