```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Ameris Bancorp","New York","2016","BlackRock,"Inc"","Common Stock","3921736","11.20%"
"Ameris Bancorp","Boston","2016","Wellington Management","Common Stock","1257772","3.60%"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Director","Bowen Donaldson Home for Funerals","2016"
"Ameris Bancorp","Director","R. Dale Ezzell","Director","Wisecards Printing","2016"
"Ameris Bancorp","Director","Leo J. Hill","Director","Advisor Network Solutions,"LLC"","2016"
"Ameris Bancorp","Director","Daniel B. Jeter","Director","Standard Discount Corporation","2016"
"Ameris Bancorp","Director","Robert P. Lynch","Director","Lynch Management Company","2016"
"Ameris Bancorp","Director","Elizabeth A. McCague","Director","McCague & Company,"LLC"","2016"
"Ameris Bancorp","Director","William H. Stern","Director","Stern & Stern and Associate","2016"
"Ameris Bancorp","Director","Jimmy D. Veal","Director","Beachview Tent Rentals,"Inc."","2016"
"Ameris Bancorp","Executive Vice President and Chief Banking Officer","Lawton E. Bassett,"III"","n/a","n/a","2016"
"Ameris Bancorp","Executive Vice President and Banking Group President","Andrew B. Cheney","President","n/a","2016"
"Ameris Bancorp","Executive Vice President,"Chief Credit Officer and Director of Credit Administration"","Jon S. Edwards","Executive Vice President,"Chief Credit Officer and Director of Credit Administration"","n/a","2016"
"Ameris Bancorp","Director,"President and Chief Executive Officer"","Edwin W. Hortman,"Jr."","Director and Chief Executive Officer","Ameris Sub Holding Co.,"Inc"","2016"
"Ameris Bancorp","Executive Vice President and Chief Information Officer","Joseph B. Kissel","Executive Vice President and Chief Information Officer","n/a","2016"
"Ameris Bancorp","Executive Vice President and Chief Banking Officer","James A. LaHaise","Executive Vice President and Chief Banking Officer","n/a","2016"
"Ameris Bancorp","Executive Vice President,"Chief Administrative Officer and Corporate Secretary"","Cindi H. Lewis","Executive Vice President,"Chief Administrative Officer and Corporate Secretary"","Ameris Sub Holding Co.,"Inc"","2016"
"Ameris Bancorp","Executive Vice President and Chief Risk Officer","Stephen A. Melton","Executive Vice President and Chief Risk Officer","n/a","2016"
"Ameris Bancorp","Executive Vice President,"Chief Financial Officer and Chief Operating Officer"","Dennis J. Zember Jr.","Executive Vice President and Chief Operating Officer","Ameris Sub Holding Co.,"Inc"","2016"
```
