```text
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"BankUnited,"Inc."","Malvern,"PA"","2019","The Vanguard Group","n/a","8836082","9.3%","n/a"
"BankUnited,"Inc."","Malvern,"PA"","2019","T. Rowe Price Associates,"Inc."","n/a","7335762","7.7%","n/a"
"BankUnited,"Inc."","New York,"NY"","2019","BlackRock,"Inc."","n/a","4940450","5.2%","n/a"
"BankUnited,"Inc."","Columbus,"OH"","2019","Diamond Hill Capital Management","n/a","6166164","6.5%","n/a"
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"BankUnited,"Inc."","Chairman,"President & CEO Director"","Rajinder P. Singh","None","n/a","2019","n/a","3938186"
"BankUnited,"Inc."","Chief Financial Officer","Leslie N. Lunak","None","Pachuca Enterprises LLC","2019","n/a","3938186"
"BankUnited,"Inc."","Chief Financial Officer","Leslie N. Lunak","None","Virtus Capital Partners LLC","2019","n/a","3938186"
"BankUnited,"Inc."","Chief Financial Officer","Leslie N. Lunak","None","LTL Properties Tampa 1 LLC","2019","n/a","3938186"
"BankUnited,"Inc."","Chief Operating Officer","Thomas M. Cornish","None","Bridge Funding Group,"Inc"","2019","n/a","3938186"
"BankUnited,"Inc."","Director","Tere Blanca","Chairman and CEO","Blanca Commercial Real Estate","2019","Commercial Real Estate","3938186"
"BankUnited,"Inc."","Director","John N. DiGiacomo","Owner","Placid Times Photography,"LLC"","2019","Retired,"North Fork Bank"","3938186"
"BankUnited,"Inc."","Director","Michael Dowling","CEO,"President and Trustee"","Northwell Health","2019","Health Care Executive","3938186"
"BankUnited,"Inc."","Director","Douglas J. Pauls","Director","Essent Group","2019","Retired Chief Financial Officer","3938186"
"BankUnited,"Inc."","Director","Douglas J. Pauls","Director","Global Atlantic Financial Group","2019","Retired Chief Financial Officer","3938186"
"BankUnited,"Inc."","Director","Douglas J. Pauls","Director","South Mountain Merger Corp.","2019","Retired Chief Financial Officer","3938186"
"BankUnited,"Inc."","Director","The Honorable A. Gail Prudenti (ret)","n/a","n/a","2019","Dean,"Hofstra Univ School of Law"","3938186"
"BankUnited,"Inc."","Director","William S. Rubenstein,"Esq."","n/a","n/a","2019","Retired Partner,"Skadden Arps"","3938186"
"BankUnited,"Inc."","Director","Sanjiv Sobti,"Ph.D."","n/a","Janak Services Corp.","2019","Former Investment Banker Independent Consultant","3938186"
"BankUnited,"Inc."","Director","Lynne Wines","n/a","n/a","2019","Retired Bank President & CEO","3938186"
```
