```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Raymond James Financial,"Inc."","New York,"NY"","2019","BlackRock,"Inc."","Common Stock","926981","5-7%","n/a"
"Raymond James Financial,"Inc."","Malvern,"PA"","2019","The Vanguard Group,"Inc."","Common Stock","13783494","10%","n/a"
"Raymond James Financial,"Inc."","St Petersburg,"FL"","2019","Thomas A. James","Common Stock","13868166","10%","n/a"
"Raymond James Financial,"Inc."","St Petersburg,"FL"","2019","Thomas A. James","RSU","19831.0144","n/a","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Raymond James Financial,"Inc."","Director","Anne Gates","Director","Tapestry,"Inc."","2019","Retail - Retired President - MGA Entertainment,"Inc."","n/a"
"Raymond James Financial,"Inc."","Director","Anne Gates","Director","Salzburg Global Seminar","2019","Retail - Retired President - MGA Entertainment,"Inc."","n/a"
"Raymond James Financial,"Inc."","Director","Anne Gates","Director","The Kroger Company","2019","Retail - Retired President - MGA Entertainment,"Inc."","n/a"
"Raymond James Financial,"Inc."","Director","Anne Gates","Director","Public Media Group of Southern California","2019","Retail - Retired President - MGA Entertainment,"Inc."","n/a"
"Raymond James Financial,"Inc."","Director","Anne Gates","Director","FU Foundation School of Engineering and Applied Science at Columbia University","2019","Retail - Retired President - MGA Entertainment,"Inc."","n/a"
"Raymond James Financial,"Inc."","Director","Anne Gates","Director","University of California Berkley Foundation","2019","Retail - Retired President - MGA Entertainment,"Inc."","n/a"
"Raymond James Financial,"Inc."","N/A","Bella Loykhter Allaire","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Director","Benjamin C. Esty","Professor","N/A","2019","Academics - Professor","n/a"
"Raymond James Financial,"Inc."","Director","Benjamin C. Esty","Director","Harvard Business Publishing","2019","Academics - Professor","n/a"
"Raymond James Financial,"Inc."","Director","Charles G. von Arentschildt","N/A","N/A","2019","Financial Services Industry - Retired Executive","n/a"
"Raymond James Financial,"Inc."","Director,"Vice Chairman"","Francis S. Godbold","Trustee Emeritus","Georgia Tech Foundation,"Inc."","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Chief Risk Officer","George Catanese","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Director","Gordon L. Johnson","President","Highway Safety Devices,"Inc."","2019","Transportation - Highway Safety Devices,"Inc."","n/a"
"Raymond James Financial,"Inc."","N/A","James E. Bunn","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","N/A","Jeffrey A. Dowdle","Trustee","Academy Prep. Center of Tampa","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Vice Chairman","Jeffrey E. Trocin","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Director","Jeffrey N. Edwards","Partner & COO","New Vernon Advisors,"LP"","2019","Finance - New Vernon Capital","n/a"
"Raymond James Financial,"Inc."","Director","Jeffrey N. Edwards","Director","American Waterworks Company,"Inc."","2019","Finance - New Vernon Capital","n/a"
"Raymond James Financial,"Inc."","EVP - Finance,"and Chief Financial Officer"","Jeffrey P. Julien","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","SVP,"Controller and Chief Accounting Officer"","Jennifer C. Ackart","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","N/A","Jodi L. Perry","Director","St. Petersburg Free Clinic","2019","N/A","n/a"
"Raymond James Financial,"Inc."","President","John C. Carson,"Jr."","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","EVP,"General Counsel and Secretary"","Jonathan N. Santelli","Trustee","Straz Center","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Chairman,"Director","and Chief Executive Officer"","Paul C. Reilly","Executive Committee","American Securities Association","2019","N/A","n/a"
"Raymond James Financial,"Inc."","N/A","Paul D. Allison","Chairman","Drug Free Kids Canada","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Director","Raj Seshadri","Trustee","Mount Holyoke College","2019","Financial Services Industry - Mastercard Incorporated","n/a"
"Raymond James Financial,"Inc."","Director","Raj Seshadri","Member","Stanford Graduate School of Business","2019","Financial Services Industry - Mastercard Incorporated","n/a"
"Raymond James Financial,"Inc."","Director","Raj Seshadri","Member","American India Foundation","2019","Financial Services Industry - Mastercard Incorporated","n/a"
"Raymond James Financial,"Inc."","Director","Robert M. Dutkowsky","Director,"Executive Chairman"","Tech Data Corporation","2019","Technology - Tech Data Corporation","n/a"
"Raymond James Financial,"Inc."","Director","Robert M. Dutkowsky","Director","Pitney Bowes","2019","Technology - Tech Data Corporation","n/a"
"Raymond James Financial,"Inc."","Director","Roderick C. McGeary","Director","Cisco Systems,"Inc."","2019","Technology - Retired Chairman and Executive","n/a"
"Raymond James Financial,"Inc."","N/A","Scott A. Curtis","Director","Financial Services Institute (FSI)","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Director","Shelley G. Broader","Director - Board of Advisors","H. Lee Moffitt Cancer Center & Research Institute","2019","Retail - Former CEO - Chico's FAS,"Inc."","n/a"
"Raymond James Financial,"Inc."","N/A","Steven M. Raney","Director","Starting Right Now","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Director","Susan N. Story","President and CEO","American Water Works Company,"Inc."","2019","Utilities - American Water Works Company,"Inc."","n/a"
"Raymond James Financial,"Inc."","N/A","Tashtego S. Elwyn","Director","St. Petersburg Chamber of Commerce","2019","N/A","n/a"
"Raymond James Financial,"Inc."","N/A","The Vanguard Group,"Inc."","N/A","N/A","2019","N/A","n/a"
"Raymond James Financial,"Inc."","Director,"Chairman Emeritus"","Thomas A. James","Chairman","The James Museum of Western and Wildlife Art","2019","N/A","n/a"
```
