### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Atlantic Union Bankshares Corporation","New York,"NY"","2023","BlackRock,"Inc."","Common Stock","10703008","14.3%","n/a"
"Atlantic Union Bankshares Corporation","Malvern,"PA"","2023","Vanguard Group Inc.","Common Stock","9290826","12.4%","n/a"
"Atlantic Union Bankshares Corporation","Austin,"TX"","2023","Dimensional Funds Advisor,"L.P."","Common Stock","4917690","6.6%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Atlantic Union Bankshares Corporation","Chief Executive Officer,"President","Director"","John Asbury","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Patrick E. Corbin","2023","Managing Shareholder","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Frank Russell Ellett","2023","President","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Rilla Delorier","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Vice President,"Director"","Paul Engola","2023","Executive Vice President","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Donald R. Kimble,"Jr."","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director,"Vice Chairman of the Board"","Patrick J. McCann","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Vice President,"Chief Human Resources Officer","Director"","Michelle A. O'Hara","2023","Executive Vice President Chief Human Resources Officer","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Thomas P. Rohman","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Linda V. Schreiner","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Thomas G. Snead,"Jr."","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Chairman of the Board","Ronald L. Tillett","2023","Managing Director","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","Keith L. Wampler","2023","Certified Public Accountant","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Director","F. Blair Wimbush","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer,"Chief Financial Officer","Director"","Robert M. Gorman","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer,"President","Chief Operating Officer"","Maria Tedesco","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer","Rachael R. Lape","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer","Matt Linderman","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer","Clare Miller","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer","Shawn E. O'Brien","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer,"Commercial Banking Group Executive","Director"","David V. Ring","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer","Sherry Williams","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","Executive Officer","Douglas F. Wooley","2023","n/a","<1%","n/a","n/a"
"Atlantic Union Bankshares Corporation","n/a","BlackRock,"Inc."","2023","n/a","14%","n/a","n/a"
"Atlantic Union Bankshares Corporation","n/a","Vanguard Group Inc.","2023","n/a","12%","n/a","n/a"
