```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Avenue Financial Holdings,"Inc."","New York,"NY"","2014","Goldman Sachs Investment Partners Master Fund,"L.P."","Common Stock","830000","9.61%","n/a"
"Avenue Financial Holdings,"Inc."","New York,"NY"","2014","Endicott Opportunity Partners","Common Stock","830000","9.61%","n/a"
"Avenue Financial Holdings,"Inc."","New York,"NY"","2014","Keefe,"Bruyette & Woods","Inc."","Common Stock","761033","8.81%","n/a"
"Avenue Financial Holdings,"Inc."","Bala Cynwyd,"PA"","2014","Context BH Equity Fund,"LP"","Common Stock","587500","6.80%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Avenue Financial Holdings,"Inc."","Chairman & Chief Executive Officer","Ronald L. Samuels","n/a","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","President & Chief Operating Officer","G. Kent Cleaver","n/a","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Chief Financial Officer","Barbara J. Zipperian","n/a","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Chief Credit Officer","Edwin Moats","n/a","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director,"Mortgage Lending"","Jim McCann","n/a","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director,"Commercial Banking"","Peter Wooten","n/a","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","David Anderson","Treasurer","Hospital Corporation of America","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","President,"Director"","Pat Emery","President","Spectrum/Emery,"Inc."","2014","Spectrum/Emery,"Inc."","3541483"
"Avenue Financial Holdings,"Inc."","Director","David Ingram","Chairman","Ingram Entertainment & DBI Beverage","2014","Owner,"Ingram Entertainment & DBI Beverage"","3541483"
"Avenue Financial Holdings,"Inc."","Director","Ken Robold","n/a","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Agenia Clark","CEO","Girl Scouts of Middle TN","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Marty Dickens","Retired","n/a","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Joe Galante","Former Chairman","Sony Music Nashville","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","Moore Entertainment Group,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","Choice Entertainment Options,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","Choice DGO,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","Choice NRA-SC,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","C&S Investments,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","JCS Medical Properties,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","Medical Investment Properties,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","Varnville Investments,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","SAM Aviation,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","TennReal,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","TennReal II,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Steve Moore","EVP,"AEG Live!"","Moore Development,"LLC"","2014","n/a","3541483"
"Avenue Financial Holdings,"Inc."","Director","Karen Saul","Human Resources Management","Arthur J. Gallagher & Co.","2014","n/a","3541483"
```
