```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","n/a","Citco Community Bancshares,"Inc."","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/Trust Officer","Joe LaPorte,"III"","n/a","Citizens Bank","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","n/a","Citco Title Co,"Inc."","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","n/a","Tri Cities Finance Company Inc.","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","n/a","Citizens Investments Services,"Inc."","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","n/a","Magnolia Investments","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","Chairman","Joe LaPorte,"III"","n/a","Acclivity Financial,"LLC"","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","n/a","Joe LaPorte,"III"","Director/Chairman/President","Citizens Bank Tri Cities Foundation,"LTD"","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","n/a","Joe LaPorte,"III"","President/Treasurer","C & J Investments,"LLC"","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","n/a","Joe LaPorte,"III"","Member/Secretary/Treasurer","JACS LLC","2022","Principal occupation is with holding company organization.","n/a"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","n/a","Citco Community Bancshares,"Inc."","2022","Retired","n/a"
"Citco Community Bancshares,"Inc."","n/a","Sam J. LaPorte","Director/Secretary","Citizens Bank Tri Cities Foundation,"LTD"","2022","Retired","n/a"
"Citco Community Bancshares,"Inc."","n/a","Sam J. LaPorte","Member","Lakelap,"LLC"","2022","Retired","n/a"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","n/a","Citco Community Bancshares,"Inc."","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Director/President","GSC Group,"Inc."","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Director","Citizens Bank Tri Cities Foundation,"LTD"","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Member","Lakelap,"LLC"","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Owner","Christopher LaPorte Family Interests,"Ltd"","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Member and Manager","Red Hawk Ranch LLC","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Member and Manager","3424 Christmas Tree LLC","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Member and Manager","Canyon Creek Ranch LLC","2022","Principal occupation-Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","n/a","Citco Community Bancshares,"Inc."","2022","Retired Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Stephen J. LaPorte","Director","Citizens Bank","2022","Retired Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Stephen J. LaPorte","Director","Citizens Bank Tri Cities Foundation,"LTD"","2022","Retired Investment Banker","n/a"
"Citco Community Bancshares,"Inc."","n/a","Stephen J. LaPorte","Member","Lakelap,"LLC"","2022","Retired Investment Banker","n/a"
```
