```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Pyramid Financial Corporation","Vicksburg,"Mississippi"","2018","Ann G. Gerache","n/a","6590","7.87%","n/a"
"Pyramid Financial Corporation","Cary,"Mississippi"","2018","Benlee LP","n/a","5420","6.47%","n/a"
"Pyramid Financial Corporation","Gainesville,"Georgia"","2018","Rives C. Carter","n/a","4380","5.23%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Bank of Anguilla","President & CEO,"CFO","Director"","Andy Anderson","President & CEO,"CFO","Director"","None","2018","n/a","n/a"
"Bank of Anguilla","Director","Ben Bryant","Director","Bryant Group of MS","2018","Accountant","n/a"
"Bank of Anguilla","Director","Ben Bryant","Director","B & B Consulting","2018","Accountant","n/a"
"Bank of Anguilla","Director","Ben Bryant","Director","Compu-Books,"Inc."","2018","Accountant","n/a"
"Bank of Anguilla","Director","Ben Bryant","Director","Agri Capital Group,"Inc."","2018","Accountant","n/a"
"Bank of Anguilla","Director","Ben Bryant","Director","Delta Resource Group,"Inc."","2018","Accountant","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","CLC Farms","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","Partner CWC Farms","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","CCA Properties","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","WCC Trucking,"LLC"","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","Associated Producers","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","Carter Plantation","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","Cross Bayou Inc","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","Carter Bro. Farms Inc.","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Clark Carter","Director","Carter Brothers Inc","2018","Farmer & Gin Operator","n/a"
"Bank of Anguilla","Director","Kevin Corban","Director","Corban Agri Consulting Inc.","2018","Crop Consultant & Crop Insurance Agent","n/a"
"Bank of Anguilla","Director","Kevin Corban","Director","Delta Area Crop Ins.","2018","Crop Consultant & Crop Insurance Agent","n/a"
"Bank of Anguilla","Director","Kevin Corban","Director","Hollis Farms Ptnship","2018","Crop Consultant & Crop Insurance Agent","n/a"
"Bank of Anguilla","Director","Kevin Corban","Director","Kalama Plt LLC","2018","Crop Consultant & Crop Insurance Agent","n/a"
"Bank of Anguilla","Director","Kevin Corban","Director","Gulf Shores Tack Jack LLC","2018","Crop Consultant & Crop Insurance Agent","n/a"
"Bank of Anguilla","Director","Bert Darnell","Director","Hollywood Farms","2018","Retired Farmer","n/a"
"Bank of Anguilla","Director","Bert Darnell","Director","Darnell Farms,"Inc"","2018","Retired Farmer","n/a"
"Bank of Anguilla","Director","Bert Darnell","Director","New Ground Corp.","2018","Retired Farmer","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","Grundfest & Klaus","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","Lamensdorf,"LLC"","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","BL Lamensdorf Farms","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","D & L Farms","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","Lamensdorf Farms of Cary","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","Sam Lamensdorf Inc.","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","AGG Farms","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","M & D Farms","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","A & D Farms","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","AG & ML Farms Inc","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","ML & BL Farms Inc","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","Egremont Plantation Inc","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","One Grower Publishing,"LLC"","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","Lamensdorf Properties","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Mike Lamensdorf","Director","Vicksburg Income Prop LLC","2018","Farmer & Publisher","n/a"
"Bank of Anguilla","Director","Fred Miller,"Jr."","Director","Milton Kline,"Inc."","2018","n/a","n/a"
"Bank of Anguilla","Director","Fred Miller,"Jr."","Director","Onward Plantation","2018","n/a","n/a"
"Bank of Anguilla","Director","Fred Miller,"Jr."","Director","Southern Agriculture Credit Corporation","2018","n/a","n/a"
"Bank of Anguilla","Director","Fred Miller,"Jr."","Director","Valewood Plt LLC","2018","n/a","n/a"
"Bank of Anguilla","Director","Fred Miller,"Jr."","Director","Sarah Cutoff LLC","2018","n/a","n/a"
"Bank of Anguilla","Director","William Moore II","Director","Ballard Company,"Inc."","2018","Farmer & Grain Company Owner","n/a"
"Bank of Anguilla","Director","William Moore II","Director","C & M Company","2018","Farmer & Grain Company Owner","n/a"
"Bank of Anguilla","Director","William Moore II","Director","Irrigation Equipment","2018","Farmer & Grain Company Owner","n/a"
"Bank of Anguilla","Director","William Moore II","Director","Magnolia Grain","2018","Farmer & Grain Company Owner","n/a"
"Bank of Anguilla","Director","William Moore II","Director","Moore Company","2018","Farmer & Grain Company Owner","n/a"
"Bank of Anguilla","Director","William Moore II","Director","Porter Farms,"Inc."","2018","Farmer & Grain Company Owner","n/a"
"Bank of Anguilla","Director","William Moore II","Director","W W M Company","2018","Farmer & Grain Company Owner","n/a"
"Bank of Anguilla","Director","W. R. Rodgers,"Jr."","Director","Helena Plantation","2018","Farmer","n/a"
"Bank of Anguilla","Director","W. R. Rodgers,"Jr."","Director","Mont Helena Assoc","2018","Farmer","n/a"
"Bank of Anguilla","Director","W. R. Rodgers,"Jr."","Director","Willbe Farms Inc","2018","Farmer","n/a"
"Bank of Anguilla","Director","W. R. Rodgers,"Jr."","Director","Centianna Plt.","2018","Farmer","n/a"
"Bank of Anguilla","Director","W. R. Rodgers,"Jr."","Director","KA - LA Farms Inc","2018","Farmer","n/a"
"Bank of Anguilla","Director","W. R. Rodgers,"Jr."","Director","Riverside Junction Farms","2018","Farmer","n/a"
