Here are the two CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Synergy Bancshares,"Inc."","Houma,"LA"","2019","Terry C. Calongne","Common Stock","63419","6.79%","n/a"
"Synergy Bancshares,"Inc."","Houma,"LA"","2019","Michel H. Claudet","Common Stock","68326","7.32%","n/a"
"Synergy Bancshares,"Inc."","Houma,"LA"","2019","Jeffery J. Scott","Common Stock","85345","9.14%","n/a"
"Synergy Bancshares,"Inc."","Houma,"LA"","2019","Frank Jeffrey Teuton","Common Stock","57725","6.18%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Synergy Bancshares,"Inc."","Chief Financial Officer","Benjamin D. Borne","n/a","n/a","2019","N/A","n/a"
"Synergy Bancshares,"Inc."","Director","Donald P. Callais","n/a","n/a","2019","Retired Insurance Executive","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","Calongne Incorporated","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","Calog LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","CALBURN LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","CHST LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","GEM-Trim of Houma LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","Hillside Timber LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","LT Leasing LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","Ratliff Woodlands LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","Terry Calongne LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","4774 LLC","2019","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Director","Danniel B. Cannon","President & Chief Executive Officer","Cannon Compression LLC","2019","Natural Gas Compression Service Company Executive","n/a"
"Synergy Bancshares,"Inc."","Director","Kerry J. Chauvin","n/a","Emotional Rescue Properties,"LLC"","2019","Business Consultant","n/a"
"Synergy Bancshares,"Inc."","Director","Michel H. Claudet","President","Abstract Properties LLC","2019","Retired Terrebonne Parish President & Attorney","n/a"
"Synergy Bancshares,"Inc."","Director","Michel H. Claudet","President","Baywood Apartments LLC","2019","Retired Terrebonne Parish President & Attorney","n/a"
"Synergy Bancshares,"Inc."","Director","Michel H. Claudet","President","Crestwood Apartments LLC","2019","Retired Terrebonne Parish President & Attorney","n/a"
"Synergy Bancshares,"Inc."","Director","Michel H. Claudet","President","Michel H. Claudet APLC","2019","Retired Terrebonne Parish President & Attorney","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","n/a","Terrebonne Parish President","2019","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","n/a","Vacco,"Inc."","2019","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","n/a","Vacco Marine,"Inc."","2019","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","n/a","Dove & Dove,"Inc."","2019","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Chairman of the Board","Morris P. Hebert","Chairman of the Board","Morris P. Hebert,"Inc."","2019","Surveying and Engineering Company Executive","n/a"
"Synergy Bancshares,"Inc."","President,"Chief Executive Officer & Director"","Jerry P. Ledet,"Jr."","n/a","n/a","2019","N/A","n/a"
"Synergy Bancshares,"Inc."","Senior Vice President","Marie M. Morris","n/a","n/a","2019","N/A","n/a"
"Synergy Bancshares,"Inc."","Director","Jeffery J. Scott","President","J&L Properties Inc","2019","Retired Seafood Consultant","n/a"
"Synergy Bancshares,"Inc."","Director","Jeffery J. Scott","President","J&M Rentals of Houma Inc","2019","Retired Seafood Consultant","n/a"
"Synergy Bancshares,"Inc."","Director","Frank Jeffrey Teuton","n/a","n/a","2019","Retired Automobile Dealer","n/a"
```
