```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Reliant Bancorp,"Inc."","NEW YORK,"NY"","2020","BLACKROCK,"INC."","n/a","873114","5.24%","n/a"
"Reliant Bancorp,"Inc."","CHICAGO,"IL"","2020","RMB CAPITAL HOLDINGS,"LLC"","n/a","992251","8.85%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Reliant Bancorp,"Inc."","Director and Assistant Secretary","Homayoun Aminmadani","See Confidential Exhibit A","n/a","2020","Restaurateur","n/a"
"Reliant Bancorp,"Inc."","Director,"Chairman","and CEO"","DeVan D. Ard,"Jr."","Director,"President","and CEO"","Community First Trups Holding Company","2020","n/a","n/a"
"Reliant Bancorp,"Inc."","Director","Charles Trimble Beasley","President","Center Star,"Inc."","2020","Materials Research","n/a"
"Reliant Bancorp,"Inc."","Director","Robert E. Daniel","President","Compass Capital,"LLC"","2020","Investment Advisor","n/a"
"Reliant Bancorp,"Inc."","Director","William Ronald DeBerry","Director","Community First Trups Holding Company","2020","n/a","n/a"
"Reliant Bancorp,"Inc."","Director","Sharon H. Edwards","Chief Financial Officer","RSC Insurance Brokerage,"Inc."","2020","Retired","n/a"
"Reliant Bancorp,"Inc."","Director","Darrell S. Freeman,"Sr."","Chairman","Pinnacle Construction Partners,"LLC"","2020","Executive","n/a"
"Reliant Bancorp,"Inc."","Director","Darrell S. Freeman,"Sr."","Chairman","S3 Recycling Solutions,"LLC"","2020","Executive","n/a"
"Reliant Bancorp,"Inc."","Director","James Gilbert Hodges","President","Hodges Group,"Inc."","2020","Information Technology Services","n/a"
"Reliant Bancorp,"Inc."","Director","William L. Mabry","n/a","n/a","2020","Construction","n/a"
"Reliant Bancorp,"Inc."","Director","Connie S. McGee","Senior Sales Director - U.S. East","Microsoft Corporation","2020","Real Estate Broker","n/a"
"Reliant Bancorp,"Inc."","Director","Ruskin A. Vest","n/a","n/a","2020","Healthcare Executive","n/a"
"Reliant Bancorp,"Inc."","Director","Michael E. Wallace","Director","Guidehouse,"Inc."","2020","Business Consultant","n/a"
"Reliant Bancorp,"Inc."","Director","Michael E. Wallace","Director","HealthStream,"Inc."","2020","Business Consultant","n/a"
"Reliant Bancorp,"Inc."","Director","Linda E. Rebrovick","President","Southeastern Shirt Corporation","2020","Private Investor","n/a"
"Reliant Bancorp,"Inc."","Director","Gerald Cooksey,"Jr."","Senior Partner","Thurman Campbell Group,"LLC"","2020","Accountant","n/a"
"Reliant Bancorp,"Inc."","Chief Financial Officer","Gerald Cooksey,"Jr."","Director and Vice President","Reliant Risk Management,"Inc."","2020","n/a","n/a"
"Reliant Bancorp,"Inc."","Chief Financial Officer","Gerald Cooksey,"Jr."","Secretary","Reliant Mortgage Ventures,"LLC"","2020","n/a","n/a"
"Reliant Bancorp,"Inc."","President","John Wilson","President","Reliant Investment Holdings,"LLC"","2020","n/a","n/a"
```
