```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Ameris Bancorp","Boston,"MA"","2014","Wellington Management Co.,"LLP"","Common Stock","2468338","7.66%","1082067"
"Ameris Bancorp","Edinburgh","2014","First State Investment Management","Common Stock","1615005","5.01%","1082067"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","President","Bowen Donaldson Home for Funerals","2012","President of Bowen Donaldson Home for Funerals","764030"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Partner","Bowen Farming Enterprises,"LLC"","2012","President of Bowen Donaldson Home for Funerals","764030"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Partner","Bowen Land and Timber,"LLC"","2012","President of Bowen Donaldson Home for Funerals","764030"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Partner","Fulwood Family Partnership","2012","President of Bowen Donaldson Home for Funerals","764030"
"Ameris Bancorp","Director","R. Dale Ezzell","Owner","Wisecards Printing and Mailing","2012","Owner of Wisecards Printing and Mailing","764030"
"Ameris Bancorp","Director","J. Raymond Fulp","Pharmacist","n/a","2012","Pharmacist","764030"
"Ameris Bancorp","Director","Leo J. Hill","Owner","Advisor Network Solutions,"LLC"","2012","Owner of Advisor Network Solutions,"LLC"","764030"
"Ameris Bancorp","Director","Leo J. Hill","Independent Lead Director","Transamerica Group of Funds","2012","Owner of Advisor Network Solutions,"LLC"","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Vice-President","Standard Discount Corporation","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Colquitt Loan Company","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Globe Loan Company of Hazelhurst","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Globe Loan Company of Tifton","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Globe Loan Company of Moultrie","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Peach Finance Company","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Personal Finance Service of Statesboro","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Globe Financial Services of Thomasville","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Classic Insurance Company,"Ltd."","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Cavalier Insurance Company","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Georgia Industrial Loan Corporation","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director; Chairman of Ameris Bancorp","Daniel B. Jeter","Director and Officer","Allied Business Systems","2012","Vice-President of Standard Discount Corporation","764030"
"Ameris Bancorp","Director","Robert P. Lynch","Owner","Lynch Management Company","2012","Owner of Lynch Management Company","764030"
"Ameris Bancorp","Director","Brooks Sheldon","Retired Banker","n/a","2012","Retired Banker","764030"
"Ameris Bancorp","Director","William H. Stern","President & CEO","n/a","2012","n/a","764030"
"Ameris Bancorp","Director","Jimmy D. Veal","Owner","Beachview Event Rentals & Design","2012","Owner of Beachview Event Rentals & Design","764030"
"Ameris Bancorp","Executive Vice President,"Banking Group President and Chief Operating Officer"","Andrew B. Cheney","n/a","n/a","2012","n/a","764030"
"Ameris Bancorp","Executive Vice President,"Chief Credit Officer and Director of Credit Administration"","Jon S. Edwards","n/a","n/a","2012","n/a","764030"
"Ameris Bancorp","Director,"President and Chief Executive Officer"","Edwin W. Hortman,"Jr."","n/a","n/a","2012","n/a","764030"
"Ameris Bancorp","Executive Vice President and Commerical Banking Executive","James A. LaHaise","n/a","n/a","2012","n/a","764030"
"Ameris Bancorp","Executive Vice President,"Chief Administrative Officer and Corporate Secretary"","Cindi H. Lewis","n/a","n/a","2012","n/a","764030"
"Ameris Bancorp","Executive Vice President and Chief Risk Officer","Stephen A. Melton","n/a","n/a","2012","n/a","764030"
"Ameris Bancorp","Executive Vice President,"Chief Financial Officer and Treasurer"","Dennis J. Zember Jr.","n/a","n/a","2012","n/a","764030"
```
