```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"BBVA Compass Bancshares,"Inc."","SPAIN","2016","Banco Bilbao Vizcaya Argentaria,"S.A."","Common Stock","222950751","100.00%"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"BBVA Compass Bancshares,"Inc."","Director,"President and Chief Executive Officer"","Onur Genç","Director,"President and Chief Executive Officer"","Compass Bank","2016"
"BBVA Compass Bancshares,"Inc."","Non-Executive Chairman of the Board","Manuel Sanchez Rodriguez","Non-Executive Chairman of the Board","Whitefish Amigos,"LLC"","2016"
"BBVA Compass Bancshares,"Inc."","Vice Chairman of the Board","William Helms","Vice Chairman of the Board","Compass Bank","2016"
"BBVA Compass Bancshares,"Inc."","Director","Charles E. McMahen","Owner","2S Ranch","2016"
"BBVA Compass Bancshares,"Inc."","Director","J. Terry Strange","Retired,"Former Vice Chairman"","New Jersey Resources Corporation","2016"
"BBVA Compass Bancshares,"Inc."","Director","Eduardo Aguirre,"Jr."","Former United States Ambassador","Atlantic Partners Group,"LLC"","2016"
"BBVA Compass Bancshares,"Inc."","Director","Fernando Gutierrez Junquera","Advisor to the Chairman and CEO","BBVA Bancomer (Mexico)","2016"
"BBVA Compass Bancshares,"Inc."","Director","Max Mario Yzaguirre","Business Executive","The Yzaguirre Group,"LLC"","2016"
"BBVA Compass Bancshares,"Inc."","Director","Sheleghmichael Brown","Retired,"Former Head of Retail Banking"","Weingarten Realty","2016"
"BBVA Compass Bancshares,"Inc."","Director","Guillermo F. Trevino","President","Southern Distributing Co.","2016"
"BBVA Compass Bancshares,"Inc."","Director","Lee Vardaman","Retired","Park Cities Financial Group,"Inc."","2016"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Risk Officer"","Javier Hernandez","n/a","n/a","2016"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Financial Officer"","Kirk Pressley","n/a","Barrett Automotive,"LLC"","2016"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"General Council and Secretary"","B. Shane Clanton","n/a","Grace for All: Training and Benevolence Center for the Children of Ethiopia,"Inc."","2016"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Information Officer"","Gabriel Sanchez Iniesta","n/a","n/a","2016"
```
