```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First NBC Bank Holding Company","Rancho Santa Fe,"CA"","2015","Castle Creek Capital,"LLC"","Common","2205382","11.56%","n/a"
"First NBC Bank Holding Company","Boston,"MA"","2015","Fidelity Management & Research Company","Common","1709964","8.96%","n/a"
"First NBC Bank Holding Company","New York,"NY"","2015","Black Rock Inc.","Common","1403152","7.35%","n/a"
"First NBC Bank Holding Company","Boston,"MA"","2015","Fidelity Advisor Series","Common","1026364","5.38%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First NBC Bank Holding Company","Chairman of the Board,"President/CEO"","Ashton J Ryan,"Jr"","","River Bend Estates,"LLC"","2015","Chairman,"President","CEO- First NBC Bank"","3485541"
"First NBC Bank Holding Company","Chairman of the Board,"President/CEO"","Ashton J Ryan,"Jr"","","River Bend Estates II,"LLC"","2015","Chairman,"President","CEO- First NBC Bank"","3485541"
"First NBC Bank Holding Company","Chairman of the Board,"President/CEO"","Ashton J Ryan,"Jr"","","River Bend Homes,"LLC"","2015","Chairman,"President","CEO- First NBC Bank"","3485541"
"First NBC Bank Holding Company","Chairman of the Board,"President/CEO"","Ashton J Ryan,"Jr"","","Universal Provision,"LLC"","2015","Chairman,"President","CEO- First NBC Bank"","3485541"
"First NBC Bank Holding Company","Chairman of the Board,"President/CEO"","Ashton J Ryan,"Jr"","","Wadsworth Estates,"LLC"","2015","Chairman,"President","CEO- First NBC Bank"","3485541"
"First NBC Bank Holding Company","Chairman of the Board,"President/CEO"","Ashton J Ryan,"Jr"","","Horn Lake Estates,"LP"","2015","Chairman,"President","CEO- First NBC Bank"","3485541"
"First NBC Bank Holding Company","Chairman of the Board,"President/CEO"","Ashton J Ryan,"Jr"","","Lake Forest Plaza,"LLC"","2015","Chairman,"President","CEO- First NBC Bank"","3485541"
"First NBC Bank Holding Company","Director","William Carrouche","Owner","One More Brick","2015","Retired","3485541"
"First NBC Bank Holding Company","Director","John French","President/ Director","JAB - New Orleans,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","President/Director","JAB-Mandeville,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Director/Secretary/Treasurer","JAB Jackson,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Secretary,"Director"","JAB - Metairie,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Member","Beach Colony,"LLC"","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Secretary/Director","The Columbus Group","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","President/Director","JAB Augusta,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Director","JAB Baton Rouge,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Vice President","Biltmore Property Group,"LLC"","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Director","LMP Asheville,"Inc"","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Director","LMP Knoxville,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","John French","Director","LMP Mandeville,"Inc."","2015","President,"Director/JAB- New Orleans","Inc."","3485541"
"First NBC Bank Holding Company","Director","Leon Giorgio,"Jr"","","Eagle Contractors,"LLC"","2015","President & Chairman of the Board/Select Properties Ltd","3485541"
