```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"OptimumBank Holdings,"Inc."","Surfside,"Fl."","2020","Michael Blisko","common stock","238330","7.44%","n/a"
"OptimumBank Holdings,"Inc."","Chicago,"III."","2020","David Gross","common stock","245000","7.65%","n/a"
"OptimumBank Holdings,"Inc."","South Bend,"In."","2020","Moishe Gubin","common stock","291201","9.09%","n/a"
"OptimumBank Holdings,"Inc."","Aventura,"FL"","2020","The Elisha Rothman Irrevocable Trust","common stock","172000","5.37%","n/a"
"OptimumBank Holdings,"Inc."","Singapore,"Singapore"","2020","Chan Heng Fai Ambrose","common stock","113623","3.55%","n/a"
"OptimumBank Holdings,"Inc."","Brooklyn,"NY"","2020","Barry Webster","common stock","49223","1.54%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"OptimumBank Holdings Inc.","Chairman of the Board,"Director"","Moishe Gubin","Director","Optimum Bank","2020","CEO various nursing homes","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","OptimumBank","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","SeD Perth Pty Ltd","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Holista CollTech Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Guangzhou HotApps Technology Ltd","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","N/A","RSI International Sytems,"Inc."","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","N/A","True Partner Capital Holding Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","True Partner International Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Global eHealth Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","AIOTech China Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Heng Fai Holdings Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Hengfeng Finance Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","International Real Estate Transaction Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","BMI Realtors Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","BMI Capital Partners International Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","HotApp International Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","SeD Home Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Cyber Construction China Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Xpress Group International Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","First Victory Development Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","SingBuilder Logistics Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","CloudView Hong Kong Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","American Asian Cancer Care Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","American Cancer Care Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","American Asian Cancer Center Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Business Mobile Intelligence Limited","2020","Investor","n/a"
"OptimumBank Holdings Inc.","Director","Chan Heng Fai Ambrose","Director","Health Wealth & Happiness Limited","2020","Investor","n/a"
