```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"CARVER FINANCIAL CORPORATION","Savannah,"GA"","2020","Robert E. James","Common Stock","286243.7650","49.81%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"CARVER FINANCIAL CORPORATION","Director & Chairman","Robert E. James","Director & President","Carver State Bank","2020","Bank President","370833"
"CARVER FINANCIAL CORPORATION","Director","E. Bruce Adams","Funeral Home Director & Owner","Adams Funeral Services","2020","Funeral Home Director & Owner","370833"
"CARVER FINANCIAL CORPORATION","Director","Cathy P. Hill","President","The Plummer-Hill Group LLC","2020","President of Business Development Group","370833"
"CARVER FINANCIAL CORPORATION","Director","Cathy P. Hill","Managing Director","Golden Seeds Inc.","2020","President of Business Development Group","370833"
"CARVER FINANCIAL CORPORATION","Director","William E. Stiles,"Sr."","General Partner","Century Investors,"Ltd."","2020","Executive Director of a Non-profit Agency","370833"
"CARVER FINANCIAL CORPORATION","Director","William E. Stiles,"Sr."","General Partner","Anderson Street Associates,"Ltd."","2020","Executive Director of a Non-profit Agency","370833"
"CARVER FINANCIAL CORPORATION","Director","Robert E. James,"II"","n/a","n/a","2020","Consultant & Attorney","370833"
"CARVER FINANCIAL CORPORATION","Director","Edward G. Miller","n/a","n/a","2020","Retired Educator & Healthcare Administrator","370833"
"CARVER FINANCIAL CORPORATION","Director","Da'Henri R. Thurmond","Senior Pastor-","St. Paul C.M.Ε. Church","2020","Senior Pastor of C.M.E. Church","370833"
"CARVER FINANCIAL CORPORATION","Senior Vice President","John L. Turner","CEO","JLS & Associates","2020","Bank Chief Operating Officer & Senior Vice President","370833"
```
