```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"HCBF Holding Company,"Inc"","Conn,"USA"","2016","Trident V Depository Holdings,"L.P."","Common Stock","2695840","14%","n/a"
"HCBF Holding Company,"Inc"","Conn,"USA"","2016","Trident V Parallel Depository Holdings,"L.P."","Common Stock","1890630","10%","n/a"
"HCBF Holding Company,"Inc"","Conn,"USA"","2016","Trident V PF Depository Holdings,"LLC"","Common Stock","118280","< 1%","n/a"
"HCBF Holding Company,"Inc"","Conn,"USA"","2016","Total Stone Point Capital LLC","Common Stock","4704750","24%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Kelso Investment Associates VIII,"L.P."","Common Stock","3804960","20%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","KEP VI,"LLC"","Common Stock","899790","4%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Total KELSO & Company","Common Stock","4704750","24%","n/a"
"HCBF Holding Company,"Inc"","MA,"USA"","2016","HarbourVest Partners VIII - Buyout Fund LP","Common Stock","532490","2%","n/a"
"HCBF Holding Company,"Inc"","MA,"USA"","2016","HarbourVest Partners 2007 Direct Fund LP","Common Stock","1331220","7%","n/a"
"HCBF Holding Company,"Inc"","MA,"USA"","2016","Total HarbourVest Partners","Common Stock","1863710","9%","n/a"
"HCBF Holding Company,"Inc"","Wisc,"USA"","2016","State of Wisconsin Investment Board","Common Stock","1853782","9%","n/a"
"HCBF Holding Company,"Inc"","VA,"USA"","2016","Investure Evergreen Fund,"LP - 2010 Special Term Tranche"","Common Stock","1544819","8%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Tinicum Capital Partners II,"L.P."","Common Stock","944929","5%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Tinicum Capital Partners II Parallel Fund,"L.P."","Common Stock","4918","< 1%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Tinicum Capital Partners II Executive Fund,"LLC"","Common Stock","2823","< 1%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Tinicum Capital Partners II Add-On Fund,"L.P."","Common Stock","606069","3%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Tinicum Capital Partners II Add-On Parallel Fund,"L.P."","Common Stock","3012","< 1%","n/a"
"HCBF Holding Company,"Inc"","NY,"USA"","2016","Total Tinicum Incorporated","Common Stock","1561751","8%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"HCBF Holding Company,"Inc"","Chairman and CEO","Michael J Brown,"Sr."","n/a","Not Applicable","2016","Not Applicable","n/a"
"HCBF Holding Company,"Inc"","Director,"President and COO"","J Hal Roberts Jr","n/a","J Bar Ranch LLC","2016","Not Applicable","n/a"
"HCBF Holding Company,"Inc"","EVP and CFO","Randall A Ezell","n/a","Not Applicable","2016","Not Applicable","n/a"
"HCBF Holding Company,"Inc"","EVP and CLO","Michael J Brown,"Jr."","n/a","Not Applicable","2016","Not Applicable","n/a"
"HCBF Holding Company,"Inc"","Director","Richard Lynch","n/a","Lynch,"Johnson & Long","LLC"","2016","CPA","n/a"
"HCBF Holding Company,"Inc"","n/a","Richard Lynch","n/a","Richard L. Lynch CPA PA","2016","CPA","n/a"
"HCBF Holding Company,"Inc"","n/a","Richard Lynch","n/a","Four R Realty LLC","2016","CPA","n/a"
"HCBF Holding Company,"Inc"","n/a","Richard Lynch","n/a","Four R Bottom Line,"LLC"","2016","CPA","n/a"
"HCBF Holding Company,"Inc"","n/a","Richard Lynch","Sec/Treas","Bobby's Brass Rail,"Inc"","2016","CPA","n/a"
"HCBF Holding Company,"Inc"","Vice-Chairman","Frank Fee,"III"","Chairman & CEO","Treasure Coast Abstract and Title Insurance Co","2016","Attorney","n/a"
"HCBF Holding Company,"Inc"","n/a","Frank Fee,"III"","Manager","Fee,"DeRoss & Fee","P.L"","2016","Attorney","n/a"
"HCBF Holding Company,"Inc"","n/a","Frank Fee,"III"","Manager","Fee & Fee,"PLLC"","2016","Attorney","n/a"
"HCBF Holding Company,"Inc"","n/a","Frank Fee,"III"","Manager","FDF Holdings LLC","2016","Attorney","n/a"
"HCBF Holding Company,"Inc"","Director","Raymond Gustini","Senior Counsel","Nixon Peabody LLP","2016","Attorney","n/a"
"HCBF Holding Company,"Inc"","Director","Elwood Coley","Managing Partner","Value Partners LLC","2016","Real Estate Consultant","n/a"
"HCBF Holding Company,"Inc"","Director","Seth M Hendon","Secretary","Tinicum Incorported","2016","Partner of Tinicum","n/a"
"HCBF Holding Company,"Inc"","n/a","Seth M Hendon","Member","Tinicum Lantern LLC","2016","Partner of Tinicum","n/a"
"HCBF Holding Company,"Inc"","n/a","Seth M Hendon","Member","Tinicum Lantern II LLC","2016","Partner of Tinicum","n/a"
"HCBF Holding Company,"Inc"","n/a","Seth M Hendon","Member","Tinicum Lantern III LLC","2016","Partner of Tinicum","n/a"
"HCBF Holding Company,"Inc"","n/a","Seth M Hendon","Member","Tinicum Lantern II Add-On LLC","2016","Partner of Tinicum","n/a"
"HCBF Holding Company,"Inc"","Principal of Stone Point Capital,"LLC"","Christopher M Doody","Director","AloStar Bank of Commerce","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher M Doody","Director","NXT Capital,"Inc."","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher M Doody","Director","Grandpoint Capital,"Inc."","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher M Doody","Director","Preston Hollow Capital LLC","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","Managing Director","Christopher L Collins","Director","Augusta Sportswear,"Inc"","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher L Collins","Director","American Beacon Advisors,"Inc."","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher L Collins","Director","Renfro Corportation","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher L Collins","Director","Third Point Reinsurance Ltd.","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher L Collins","Director","Premia Reinsurance Ltd.","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","n/a","Christopher L Collins","Director","Risk Strategies Company","2016","n/a","n/a"
"HCBF Holding Company,"Inc"","Director","David Bessette","President","Real Living All Florida Real Estate","2016","Real Estate Property Manager","n/a"
"HCBF Holding Company,"Inc"","n/a","David Bessette","President","Florida Insurance Concepts,"Inc"","2016","Real Estate Property Manager","n/a"
"HCBF Holding Company,"Inc"","n/a","David Bessette","President","All Florida Real Estate Schools","2016","Real Estate Property Manager","n/a"
"HCBF Holding Company,"Inc"","n/a","David Bessette","President","All Florida Referral Network","2016","Real Estate Property Manager","n/a"
"HCBF Holding Company,"Inc"","n/a","David Bessette","President","All Florida Property Management","2016","Real Estate Property Manager","n/a"
```
