```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","n/a","2016","Mercantil Servicios Financieros,"C.A."","Common Stock","513759092","100%","n/a"
"MERCANTIL COMMERCEBANK VOTING TRUST","n/a","2016","Mercantil Commercebank Holding Corporation","Voting Trust Certificates","n/a","100%","n/a"
"MERCANTIL COMMERCEBANK FLORIDA BANCORP","n/a","2016","Mercantil Commercebank Voting Trust","Common Stock","125769788","100%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Guillermo Villar","n/a","Cicera Group,"LLC"","2016","Investor","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Guillermo Villar","n/a","J&G Florida Properties,"LLC"","2016","Investor","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Guillermo Villar","n/a","Alcazar Development Group LLC","2016","Investor","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Guillermo Villar","n/a","Alcazar Development Group II LLC","2016","Investor","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Guillermo Villar","n/a","Alcazar Development group III LLC","2016","Investor","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Guillermo Villar","n/a","ADG Telecom LLC","2016","Investor","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Mercantil Bank & Trust Limited","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Mercantil Bank (Panama),"S.A."","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Mercantil Bank (Curacao)","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Mercantil Banco Universal","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Curaçao Mercantil Management N.V","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Fundacion Mercantil","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Alvina Corporation","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Diners Club Curacao,"N.V."","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Diners Club del Caribe,"N.V."","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Lenita International,"N.V."","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Mercantil International Capital Market,"N."","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Merinvest,"N.V."","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Epicarmo Limited,"Barbados"","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Epica Investments Inc.,"Barbados"","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Avila Investments Inc.,"Barbados"","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Auyantepuy Holding Inc.,"Barbados"","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","President & CEO Director Trustee & Administrative Officer","Millar Wilson","n/a","Santa Rosa LLC","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director Chair of the Board Audit Committee","Frederick C. Copeland Jr","n/a","Pan-American Life Insurance Group (PALIG)","2016","Retired","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director Chair of the Board Audit Committee","Frederick C. Copeland Jr","n/a","Pan-American Life Center","2016","Retired","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director Chair of the Board Audit Committee","Frederick C. Copeland Jr","n/a","Spanish Broadcasting System (SBS)","2016","Retired","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director Chair of the Board Audit Committee","Frederick C. Copeland Jr","n/a","The Beacon Council","2016","Retired","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director Chair of the Board Audit Committee","Frederick C. Copeland Jr","n/a","Greather Miami Chamber of Commerce","2016","Retired","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Pamella J. Dana","n/a","Triumph Gulf Coast,"Inc."","2016","Senior Strategic Advisor,"Institute for Human & Machine Recognition"","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Pamella J. Dana","n/a","Florida Sports Foundation Board","2016","Senior Strategic Advisor,"Institute for Human & Machine Recognition"","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Pamella J. Dana","n/a","Scripps Florida Funding Corporation Board","2016","Senior Strategic Advisor,"Institute for Human & Machine Recognition"","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Pamella J. Dana","n/a","Florida Chamber of Commerce Foundation Board","2016","Senior Strategic Advisor,"Institute for Human & Machine Recognition"","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Roberto Vainrub","n/a","Mercantil,"C.A. Banco Universal"","2016","Wealth Management at Financial Partners Capital Management","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Roberto Vainrub","n/a","Mercantil Servicios Financieros,"CA."","2016","Wealth Management at Financial Partners Capital Management","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Roberto Vainrub","n/a","AV Securities","2016","Wealth Management at Financial Partners Capital Management","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Roberto Vainrub","n/a","Holding Activalores","2016","Wealth Management at Financial Partners Capital Management","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Peter Adolf Huwyler","n/a","Mercantil Bank (Schweiz) AG","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Peter Adolf Huwyler","n/a","Skandifinanz AG","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Director","Peter Adolf Huwyler","n/a","Kreisspital für das Freiamt","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Member of the Board Director","Gustavo A. Marturet Medina","n/a","Mercantil C.A. Banco Universal","2016","Portfolio Manager at Canepa U.S. (Canepa Dividend Select Fund I)","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Member of the Board Director","Gustavo A. Marturet Medina","n/a","Mercantil Servicios Financieros C.A","2016","Portfolio Manager at Canepa U.S. (Canepa Dividend Select Fund I)","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Treasurer Director","Luis Alberto Romero","n/a","Mercantil Seguros","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Treasurer Director","Luis Alberto Romero","n/a","International Briquettes Holding","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Financial Officer","Alberto Peraza","n/a","Coral Gables Chamber of Commerce.","2016","n/a","n/a"
"MERCANTIL COMMERCEBANK HOLDING CORPORATION","Financial Officer","Alberto Peraza","n/a","Habitat for Humanity of Greater Miami.","2016","n/a","n/a"
```
