```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Capital One Financial Corporation","Malvern,"PA"","2023","The Vanguard Group Malvern,"PA"","Common Stock","30666598","8.05%","n/a"
"Capital One Financial Corporation","San Francisco,"CA"","2023","Dodge & Cox","Common Stock","25220598","6.60%","n/a"
"Capital One Financial Corporation","New York,"NY"","2023","BlackRock,"Inc"","Common Stock","24741893","6.50%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Capital One Financial Corporation","Chief Information Officer","Alexander,"Robert M."","n/a","n/a","2023","N/A","0.02%","n/a","n/a"
"Capital One Financial Corporation","Director","Archibong,"Ime Victor"","n/a","n/a","2023","N/A","0.00%","n/a","n/a"
"Capital One Financial Corporation","President,"Commercial Banking"","Blinde,"Neil A."","n/a","n/a","2023","N/A","0.03%","n/a","n/a"
"Capital One Financial Corporation","Senior Advisor","Borgmann,"Kevin S."","n/a","n/a","2023","N/A","0.02%","n/a","n/a"
"Capital One Financial Corporation","General Counsel,"Corporate Secretary"","Cooper,"Matthew W."","n/a","n/a","2023","N/A","0.01%","n/a","n/a"
"Capital One Financial Corporation","President,"Banking and Premium Products"","Dean,"Lia"","n/a","n/a","2023","N/A","0.01%","n/a","n/a"
"Capital One Financial Corporation","Director","Detrick,"Christine"","n/a","n/a","2023","Business Executive","0.00%","n/a","n/a"
"Capital One Financial Corporation","Chairman of the Board,"Chief Executive Officer"","Fairbank,"Richard D."","n/a","n/a","2023","N/A","1.01%","n/a","n/a"
"Capital One Financial Corporation","Treasurer","Feil,"Thomas A."","n/a","n/a","2023","N/A","n/a","n/a","n/a"
"Capital One Financial Corporation","Controller and Principal Accounting Officer","Golden,"Timothy P."","n/a","n/a","2023","N/A","0.00%","n/a","n/a"
"Capital One Financial Corporation","Director","Hackett,"Ann Fritz"","n/a","n/a","2023","Business Executive","0.01%","n/a","n/a"
"Capital One Financial Corporation","Chief Human Resource Officer","Haggerty,"Kaitlin B."","n/a","n/a","2023","N/A","0.00%","n/a","n/a"
"Capital One Financial Corporation","Senior Advisor","Hall,"Sheldon F. (\"Trip\")"","n/a","n/a","2023","N/A","0.02%","n/a","n/a"
"Capital One Financial Corporation","President,"Retail Bank"","Edwards Karam,"Celia"","n/a","n/a","2023","N/A","0.01%","n/a","n/a"
"Capital One Financial Corporation","Director","Killalea,"Peter T."","n/a","n/a","2023","N/A","0.00%","n/a","n/a"
"Capital One Financial Corporation","Chief Enterprise Services Officer","LaPrade,"III","Frank G."","n/a","n/a","2023","Business Executive","0.01%","n/a","n/a"
"Capital One Financial Corporation","Director","Leenaars,"Cornelius Petrus Adrianus Joseph (\"Eli Leenaars\")"","n/a","n/a","2023","Business Executive","0.00%","n/a","n/a"
"Capital One Financial Corporation","Director","Locoh-Donou,"François"","n/a","n/a","2023","Business Executive","0.00%","n/a","n/a"
"Capital One Financial Corporation","President,"U.S. Card"","Mouadeb,"Mark D."","n/a","n/a","2023","N/A","0.00%","n/a","n/a"
"Capital One Financial Corporation","President,"Capital One Software","International","and Small Business Products"","Raghu,"Ravi"","n/a","n/a","2023","N/A","0.01%","n/a","n/a"
"Capital One Financial Corporation","Director","Raskind,"Peter E."","n/a","n/a","2023","Business Executive","0.01%","n/a","n/a"
"Capital One Financial Corporation","Director","Serra,"Eileen"","n/a","n/a","2023","Business Executive","0.00%","n/a","n/a"
"Capital One Financial Corporation","Director","Shattuck,"III","Mayo A."","n/a","n/a","2023","Business Executive","0.02%","n/a","n/a"
"Capital One Financial Corporation","Director","Warner,"Bradford H."","n/a","n/a","2023","Business Executive","0.01%","n/a","n/a"
"Capital One Financial Corporation","Chief Enterprise Risk Officer","West,"Kara"","n/a","n/a","2023","N/A","0.00%","n/a","n/a"
"Capital One Financial Corporation","Director","Williams,"Craig Anthony"","n/a","n/a","2023","Business Executive","0.00%","n/a","n/a"
"Capital One Financial Corporation","President,"Financial Services"","Yajnik,"Sanjiv"","n/a","n/a","2023","N/A","0.03%","n/a","n/a"
"Capital One Financial Corporation","Chief Financial Officer","Young,"Andrew"","n/a","n/a","2023","N/A","0.01%","n/a","n/a"
"Capital One Financial Corporation","Chief Credit and Financial Risk Officer","Zamsky,"Michael"","n/a","n/a","2023","N/A","0.01%","n/a","n/a"
"Capital One Financial Corporation","Senior Advisor","Borgmann,"Kevin S."","LightWeaver,"LLC"","LightWeaver,"LLC"","2023","N/A","n/a","n/a","n/a"
"Capital One Financial Corporation","Senior Advisor","Borgmann,"Kevin S."","LightWeaver,"LLC"","Dartmouth College","2023","N/A","n/a","n/a","n/a"
"Capital One Financial Corporation","Senior Advisor","Borgmann,"Kevin S."","LightWeaver,"LLC"","Chesapeake Bay Foundation","2023","N/A","n/a","n/a","n/a"
"Capital One Financial Corporation","Senior Advisor","Borgmann,"Kevin S."","LightWeaver,"LLC"","Fortune Brands Home & Security,"Inc."","2023","N/A","n/a","n/a","n/a"
"Capital One Financial Corporation","Director","Bradford H. Warner","Warner Family Foundation","Warner Family Foundation","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Director","Bradford H. Warner","Warner Family Foundation","Bradford H. Warner Trust","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Director","Bradford H. Warner","Warner Family Foundation","Popes Lane Realty Trust","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Director","Bradford H. Warner","Warner Family Foundation","Cushing St Realty Trust","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Chairman","Locoh-Donou,"François"","F5 Networks","F5 Networks","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Chairman","Locoh-Donou,"François"","F5 Networks","Digijob-Togo","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Chairman","Locoh-Donou,"François"","F5 Networks","Cajou Espoir-Togo","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Director","Peter Thomas Killalea","Cleveland Museum of Art","Cleveland Museum of Art","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Chairman","Yajnik,"Sanjiv"","CBRE Group,"Inc."","CBRE Group,"Inc."","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Board Member","Edwards Karam,"Celia"","Build Commonwealth for Save Your Refund","Build Commonwealth for Save Your Refund","2023","n/a","n/a","n/a","n/a"
"Capital One Financial Corporation","Trustee","Matthew W. Cooper","Virginia Museum of Fine Arts","Virginia Museum of Fine Arts","2023","n/a","n/a","n/a","n/a"
```
