```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Eureka Homestead Bancorp,"Inc."","St. Joseph,"MO"","2019","Community Bank of Pleasant Hill,"dba First Trust of MidAmerica","Trustee"","common stock","114374","8.0%","n/a"
"Eureka Homestead Bancorp,"Inc."","New York,"NY"","2019","Maltese Capital Management LLC","common stock","140000","9.79%","n/a"
"Eureka Homestead Bancorp,"Inc."","New York,"NY"","2019","Firefly Value Partners,"LP"","common stock","114374","8.0%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Eureka Homestead Bancorp,"Inc."","Chief Executive Officer and Chairman of the Board","Alan T. Heintzen","Chief Executive Officer and Chairman of the Board","Eureka Homestead","2019","n/a","n/a"
"Eureka Homestead Bancorp,"Inc."","President and Chief Financial Officer","Cecil A. Haskins,"Jr."","President and Chief Financial Officer","Eureka Homestead","2019","n/a","n/a"
"Eureka Homestead Bancorp,"Inc."","Director","Creed W. Brierre,"Sr."","Director","Eureka Homestead","2019","Retired","n/a"
"Eureka Homestead Bancorp,"Inc."","Director","Patrick M. Gibbs","Director","Eureka Homestead","2019","Retired","n/a"
"Eureka Homestead Bancorp,"Inc."","Director","Nick O. Sagona,"Jr."","Director","Eureka Homestead","2019","Retired","n/a"
"Eureka Homestead Bancorp,"Inc."","Director","Robert M. Shofstahl","Director","Eureka Homestead","2019","Retired","n/a"
"Eureka Homestead Bancorp,"Inc."","Director","Wilbur A. Toups,"Jr."","Director","Eureka Homestead","2019","Retired","n/a"
```
