```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"AMERANT FLORIDA BANCORP INC.","Coral Gables","2019","Amerant Bancorp Inc.","Common Stock","125769788","100%"
"AMERANT BANCORP INC.","Caracas","2019","Vollmer Family","n/a","3439207.66","11.89%"
"AMERANT BANCORP INC.","San Mateo","2019","Gustavo J. Vollmer A.","n/a","2051947.66","7.09%"
"AMERANT BANCORP INC.","Caracas","2019","Capriles Family","n/a","3212970","11.11%"
"AMERANT BANCORP INC.","Caracas","2019","ALTAMIS B.V.","n/a","2157037.67","7.45%"
"AMERANT BANCORP INC.","Caracas","2019","Miguel A. Capriles L","n/a","2161833","7.47%"
"AMERANT BANCORP INC.","Caracas","2019","Marturet Family","n/a","3675525.66","12.71%"
"AMERANT BANCORP INC.","Caracas","2019","Maturet Medina Family","n/a","2210889.33","7.64%"
"AMERANT BANCORP INC.","Radnor","2019","PATRIOT FINANCIAL PARTNERS,"L.P."","n/a","2000000","6.91%"
"AMERANT BANCORP INC.","New York","2019","PERRY CREEK CAPITAL,"L.P."","n/a","1543229","5.33%"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"AMERANT FLORIDA BANCORP,"INC."","Director","Guillermo Villar","Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Vice Chairman & CEO and Director","Millar Wilson","Vice-Chairman & CEO and Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director & Chairman of the Board","Frederick C. Copeland Jr","Director and Chairman of the Board","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director","Jose Antonio Villamil","Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director","Pamella J. Dana","Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director","Alberto Manuel Capriles Santander","Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Treasurer","Alberto Peraza","Co-President & CFO and Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director","Rosa Maria Delgado De Costantino","Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Co-President & Chief Operating Officer","Alfonso Figueredo","Co-President & Chief Operating Officer and Director","Amerant Banck,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director","Gustavo A. Marturet Medina","Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director","M Gerald Paul Plush","Director","Amerant Bank,"N.A."","2019"
"AMERANT FLORIDA BANCORP,"INC."","Director","John W. Quill","Director","Amerant Bank,"N.A."","2019"
```
