```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Franklin Financial Network","n/a","2014","n/a","n/a","n/a","n/a","3637582"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Franklin Financial Network","Director","Jimmy Allen","President","Venture Express","2014","Transportation","3637582"
"Franklin Financial Network","Director","Jimmy Allen","President","Creative Transportation","2014","Transportation","3637582"
"Franklin Financial Network","Director","Jimmy Allen","President","Allen's Cartage Company","2014","Transportation","3637582"
"Franklin Financial Network","Director","Jimmy Allen","President","Center Hill Marina","2014","Transportation","3637582"
"Franklin Financial Network","Director","Jimmy Allen","Co-owner","Center Hill Marina","2014","Transportation","3637582"
"Franklin Financial Network","Director","Jimmy Allen","President","Yacht Club","2014","Transportation","3637582"
"Franklin Financial Network","EVP,"Chief Mortgage Bank Officer"","Sally Bowers","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","Director","Henry (Hank) Brockman","n/a","n/a","2014","Private Investor","3637582"
"Franklin Financial Network","EVP,"Chief Investment Officer"","Dallas Caudle","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","Director","James W. Cross","President/Owner","Century Construction","2014","Construction","3637582"
"Franklin Financial Network","Director","James W. Cross","President/Owner","Land Contractors","2014","Construction","3637582"
"Franklin Financial Network","EVP,"Chief Operations Officer"","Kevin Herrington","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","President,"Chairman","& CEO; Director"","Richard Herrington","Chairman & CEO,"Director"","n/a","2014","n/a","3637582"
"Franklin Financial Network","EVP,"Chief Banking Officer"","Ashley Hill","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","EVP,"Chief Credit Officer"","Myers Jones","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","Director","Dr. David Kemp","Owner","Kemp Orthodontics","2014","Orthodontics","3637582"
"Franklin Financial Network","EVP,"Chief Financial Officer"","Sally Kimble","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","EVP,"Chief Retail Officer"","David McDaniel","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","Director","Lee Moss","President,"Director"","n/a","2014","n/a","3637582"
"Franklin Financial Network","SVP,"Chief Marketing Officer"","Aimee Punessen","n/a","n/a","2014","n/a","3637582"
"Franklin Financial Network","Director","Paul Pratt,"Jr."","President","Full Service Insurance,"Inc."","2014","Insurance","3637582"
"Franklin Financial Network","Director","Melody Smiley","Owner","Smiley CPAs","2014","CPA","3637582"
"Franklin Financial Network","Director","Pam Stephens","Funeral Directors/Part Owner","Williamson Memorial Funeral Home-","2014","Funeral Home","3637582"
```
