```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Business First Bancshares,"Inc."","New York,"NY"","2023","The Deposit Trust Company","Common Stock","18275314","71.11%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","Buquet Investments","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","GLCB II","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","CBMG LLC","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","JAM Investments LLC","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","Buquet Reality Company Inc","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","Sinclair Realty LLC","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","Buquet Dist Comp","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","James J. Buquet,"III"","Director","DIDCO LLC","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","Carol M. Calkins","Retired","n/a","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Southland Group LLC","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Ricky Day Trucking LLC","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","DeRidder Truck Parts LLC","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Rooster's Farmhouse Chicken Express","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","RJPW,"LLC"","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","BDT Enterprises LLC","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Bulldog Lands LLC","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Day Minerals,"LLC"","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Deridder Coachs Club Inc","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Jasper Ventures LLC","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","Jdot Industries,"LLC"","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","P'S of Deridder LLC","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","R.D. Labor. Inc","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","Ricky D. Day","Manager","West Louisiana Construction Co","2023","Forestry","n/a"
"Business First Bancshares,"Inc."","Director","John Ducrest","Owner","T.L. Ducrest Building,"LLC"","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","Mark Folse","n/a","n/a","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director (Chairman)","Robert Greer","n/a","n/a","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","J. Vernon Johnson","CEO","Louisiana Bancshares,"Inc."","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","Rolfe H. McCollister,"Jr"","n/a","McCollister & Associates","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","Rolfe H. McCollister,"Jr"","n/a","J & R Real Estate,"LLC"","2023","Retired","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Mainspring Companies,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Whiteboard Holdings,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","n/a","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","MBD Construction,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","MBD Automation,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","McLindon Development Group","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Four Real Estate Services,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Genlease,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Modus,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","TB9,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","McLindon Commerce,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Stromberg Townhomes,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Office @ River Highland","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Gear Train,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Propel Production Studio,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","TMS,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","LVCR,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Pivotal,"LLC"","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","Cloudloft Holdings LLC","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","Director","Andrew D. McLindon","President","ORH1","2023","General Contractor","n/a"
"Business First Bancshares,"Inc."","President,"Chief Executive Officer and Director"","David Melville. III","n/a","n/a","2023","N/A","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Southern Eagle Sales and Service,"ALP"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Mockler Family,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Reiger Development,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","N.O. Eagle Investments,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Southern Eagle Sales and Service,"ALP"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Mockler Distribution,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","P&S Alpine Adventures,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","P&S Telluride Adventures,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","P&S New Orleans Adventures,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","P&S Baton Rouge Adventures,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Mockler Enterprises,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Eagles Nest Development,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","K.O.B. of Louisiana LLC","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","MBC West Development LLC","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Mockler Beverage - Houma,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Mockler Beverage Company ALP","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Mockler Beverage Company West LLC","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Mockler Investments West LLC","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Southeast Louisiana Beverage Group,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","Patrick E. Mockler","President","Southern Eagle Sales Management,"LLC"","2023","President of Beverage Distributor","n/a"
"Business First Bancshares,"Inc."","Director","David Montgomery","Partner","Brothers Ventures,"LLC"","2023","Insurance","n/a"
"Business First Bancshares,"Inc."","Director","David Montgomery","Partner","Montgomery Agency,"Inc."","2023","Insurance","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","KIT Exploration,"Inc."","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","PEMP Investments,"LLC"","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","Convexx Oil & Gas,"Inc."","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","Badger Energy,"LLC"","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","Badger Oil Corporation","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","New Neptune Ventures","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","Price Is Right Holdings,"LLC"","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Arthur Price","President / CFO","KIT Properties,"LLC"","2023","President / CFO of Oil Company","n/a"
"Business First Bancshares,"Inc."","Director","Aimee Quirk","Managing Member","Q6 LLC","2023","SVP and Chief Corporate Development Officer for Ochsner Health and Chief Executive Officer of Oshsner Ventures","n/a"
"Business First Bancshares,"Inc."","Chief Financial Officer,"Treasurer and Principal Financial Officer"","Gregory Robertson","n/a","n/a","2023","N/A","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","T. Baker Smith,"LLC"","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","Four C's of Houma,"LLC"","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","TBS Holdings,"LLC"","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","Mega Beast,"LLC"","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","JK Aero,"LLC."","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","JCCK Enterprises LLC","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","OPM Clean UP,"LLC"","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Director","Kenneth Smith","Manager","C&J Enterprises,"LLC"","2023","Engineer","n/a"
"Business First Bancshares,"Inc."","Corporate Secretary","Saundra Strong","n/a","n/a","2023","N/A","n/a"
"Business First Bancshares,"Inc."","Director","Keith Tillage","Principal","CSRS/Tillage","2023","Construction","n/a"
"Business First Bancshares,"Inc."","Director","Keith Tillage","Principal","LaFleur/Tillage","2023","Construction","n/a"
"Business First Bancshares,"Inc."","Director","Keith Tillage","Principal","Womack/Tillage","2023","Construction","n/a"
"Business First Bancshares,"Inc."","Director","Keith Tillage","Principal","Ujima Development Group LLC","2023","Construction","n/a"
"Business First Bancshares,"Inc."","Director","Keith Tillage","Principal","Landis / Tillage JV - LLC","2023","Construction","n/a"
"Business First Bancshares,"Inc."","Director","Steve White","Business Manager","William A. Robinson Trust","2023","Executive Management","n/a"
