```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","Dr. Frank V. Bervaldi","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","William O. Kemp","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Coral Gables,"FL"","2017","Carl R. Zwerner","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Boca Raton,"FL"","2017","Paola M. Luptak","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","Luis Cobo and Ana Cobo","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","T. Mark Jones and April Jones","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","Spottswood Family:","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","JMS Dynasty Trust","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","RAS Dynasty Trust","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","WBS Dynasty Trust","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","J.M. & T.M. Spottswood","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Houston,"TX"","2017","Lande A. Spottswood","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","Robert A. Spottswood,"Jr."","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","Phillip G. Spottswood","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","Elaine M. Spottswood","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","Mary Anne Spottswood JTWROS","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Key West,"FL"","2017","William B. Spottswood,"Jr."","n/a","n/a","CONFIDENTIAL","3897519"
"First State Bank of the Florida Keys Holding Company","Aventura,"FL"","2017","Charles C. Spottswood","n/a","n/a","CONFIDENTIAL","3897519"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Luis Cobo","Vice President","Ven-A-Care Companies Inc","2017","Registered Pharmacist","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Luis Cobo","n/a","Keys Island Properties LLC","2017","Registered Pharmacist","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Luis Cobo","n/a","Keys Island Properties II,"LLC"","2017","Registered Pharmacist","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","T. Mark Jones","President","Ven-A-Care Companies Inc","2017","Vice President,"Ven-A-Care"","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","T. Mark Jones","n/a","Keys Island Properties LLC","2017","Vice President,"Ven-A-Care"","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","T. Mark Jones","n/a","Keys Island Properties II,"LLC"","2017","Vice President,"Ven-A-Care"","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Paola M. Luptak","Sole Owner","Attorney,"Real Estate Development"","2017","Attorney","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Spottswood family:","Chairman,"CEO"","Keys Island Properties LLC","2017","Attorney","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Spottswood family:","Chairman,"CEO"","Keys Island Properties II,"LLC"","2017","Attorney","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Lande A. Spottswood","Director","Keys Island Properties LLC","2017","President,"Spottswood"","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Lande A. Spottswood","Director","Keys Island Properties II,"LLC"","2017","President,"Spottswood"","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Robert A Spottswood. Jr.","Director","Keys Island Properties LLC","2017","Associate,"Baker & Hostetler LLP"","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Robert A Spottswood. Jr.","Director","Keys Island Properties II,"LLC"","2017","Associate,"Baker & Hostetler LLP"","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","William B Spottswood,"Jr."","Director","Keys Island Properties LLC","2017","Attorney","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","William B Spottswood,"Jr."","Director","Keys Island Properties II,"LLC"","2017","Attorney","3897519"
"First State Bank of the Florida Keys Holding Company","Director,"Shareholders"","Charles C Spottswood","Director","Keys Island Properties LLC","2017","VP,"Keystar Inc"","3897519"
