```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Red River Bancshares,"Inc."","Winnfield,"LA"","2023","Teddy R. Price","n/a","436250","6.15%","n/a"
"Red River Bancshares,"Inc."","Winnfield,"LA"","2023","Teddy R. Price","n/a","64568","n/a","n/a"
"Red River Bancshares,"Inc."","Winnfield,"LA"","2023","Teddy R. Price","n/a","6025","n/a","n/a"
"Red River Bancshares,"Inc."","Winnfield,"LA"","2023","Teddy R. Price","n/a","16500","n/a","n/a"
"Red River Bancshares,"Inc."","Alexandria,"LA"","2023","Simeon A. Thibeaux,"Trustee of the John Charles Simpson","Jr. Irrevocable Trust U/A DTD 11/25/03"","n/a","421407","5.94%","n/a"
"Red River Bancshares,"Inc."","Alexandria,"LA"","2023","Simeon A. Thibeaux,"Trustee of the Angela Katherine Simpson Irrevocable Trust U/A DTD 11/25/03"","n/a","414739","5.85%","n/a"
"Red River Bancshares,"Inc."","New Orleans,"LA"","2023","Mr. John C. Simpson","n/a","409911","5.78%","n/a"
"Red River Bancshares,"Inc."","Alexandria,"LA"","2023","S3 Dynamics,"LP"","n/a","402411","5.67%","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","Director","Red River Bank","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","President","PHM Corporation","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","President","LMA Partners","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","President","Woodlawn Partnership","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","Member","Monroe Louisville Avenue LLC","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","President","CAY Properties","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","President","GTF Development Corporation","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
"Red River Bancshares,"Inc."","Director","M. Scott Ashbrook","President","Cypress Point Corporation","2023","Property Management,"Long Term Care Facilities and Real Estate"","n/a"
