Here are the two CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Lowndes Bancshares,"Inc."","Valdosta,"GA"","2021","John W. Langdale,"Jr. as Trustee of John W. Langdale Jr. Trust B"","n/a","12600","100.0%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Lowndes Bancshares,"Inc."","Director,"Chairman","President"","John W. Langdale,"Jr."","Chairman,"CEO"","The Langdale Company","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Operating Manager","Langdale Farms,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Chairman,"Operating Manager"","Langdale Woodlands,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Member Manager","Kinderlou Forest Development,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Chairman"","Southland Forest Products,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Forest Products Co.","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","Lanco Trucking,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Composite Materials Technology,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","Langdale Fuel Co.","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","Langboard,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Operating Manager","TLC Land,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","The Val d'Aosta Company","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","Industrial Cutting Tools,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","TLC Building Components,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","Longleaf Property Management of Valdosta,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","TLC Millwork,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Southern Builders Supply of Valdosta,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","Fussell Tire and Service,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Chevrolet,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Vice-President"","Volume Powersports,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Kinderlou Forest Golf Club,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director","MJL Surety Co.","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"President"","Langdale Timber Company","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Chairman"","John W. Langdale,"Jr."","Director,"Manager"","TLC Benefit Solutions,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice-President"","James H. Langdale","Director,"President"","n/a","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director","James H. Langdale","Director,"Member Manager"","Kinderlou Forest Development,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice-President"","James H. Langdale","Operating Manager","Langdale Woodlands,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice-President"","James H. Langdale","Director,"Member Manager"","Composite Materials Technology,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice-President"","James H. Langdale","Director,"President"","Composite Materials Technology,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice-President"","James H. Langdale","Director,"Member Manager"","Langboard,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice-President"","James H. Langdale","Operating Manager","TLC Land,"LLC"","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice President"","Larry K. Fudge","n/a","n/a","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Vice President"","Larry K. Fudge","Director,"Member Manager"","Langboard,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"Secretary/Treasurer"","Gregory J. Miller","n/a","n/a","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director","Gregory J. Miller","Director,"Member Manager"","Langboard,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director","Gregory J. Miller","Director,"Secretary/Treasurer/CFO"","TLC Benefit Solutions,"Inc."","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director","Donald K. Warren","n/a","n/a","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"President"","Donald K. Warren","n/a","n/a","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director","J. Ryan Warren","n/a","n/a","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director,"President"","J. Ryan Warren","n/a","n/a","2021","n/a","n/a"
"Lowndes Bancshares,"Inc."","Director","J. Ryan Warren","Elder","Municipal Airport Church of Christ","2021","n/a","n/a"
```
