```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Amerant Bancorp,"Inc."","Coral Gables,"FL"","2021","Amerant Bancorp Inc.","Common Stock","125769788","100%","n/a"
"Amerant Bancorp,"Inc."","Coral Gables,"FL"","2021","Amerant Bancorp Inc.","Class A","73090924","n/a","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","Vollmer Family aggregate","Class A Voting Shares","2933946","9.04%","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","Gustavo J. Vollmer A.","Class A Voting Shares","1604913","4.94%","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","Capriles Family aggregate","Class A Voting Shares","2997905","9.24%","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","ALTAMIS B.V.","Class A Voting Shares","409580","1.26%","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","Miguel A. Capriles L","Class A Voting Shares","1430622","4.40%","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","Marturet Family aggregate","Class A Voting Shares","2997726","9.23%","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","Maturet Medina Family aggregate","Class A Voting Shares","1901577","5.86%","n/a"
"Amerant Bancorp,"Inc."","Caracas,"Venezuela"","2021","Diana Medina de Marturet","Class A Voting Shares","1669823","5.14%","n/a"
"Amerant Bancorp,"Inc."","Radnor,"PA"","2021","PATRIOT FINANCIAL PARTNERS,"L.P."","Class A Voting Shares","2084197","6.42%","n/a"
"Amerant Bancorp,"Inc."","New York,"NY"","2021","BLACKROCK,"INC."","Class A Voting Shares","1633698","5.12%","n/a"
"Amerant Bancorp,"Inc."","Boston,"MA"","2021","WELLINGTON MANAGEMENT GROUP LLP","Class A Voting Shares","2325008","7.16%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","Cicera Group,"LLC"","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","J&G Florida Properties,"LLC"","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","Alcazar Development Group LLC.","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","Alcazar Development Group II LLC.","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","Alcazar Development group III LLC.","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","Alcazar Development group IV LLC.","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","Alcazar Development group V LLC.","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Guillermo Villar","Manager","ADG Telecom LLC.","2021","Investor","n/a"
"Amerant Bancorp,"Inc."","Director","Millar Wilson","Manager","Santa Rosa LLC.","2021","Retired","n/a"
"Amerant Bancorp,"Inc."","Director","Millar Wilson","Manager","Josefa LLC.","2021","Retired","n/a"
"Amerant Bancorp,"Inc."","Director","Millar Wilson","Manager","Giralda at Gables LLC.","2021","Retired","n/a"
"Amerant Bancorp,"Inc."","Director","Millar Wilson","Manager","Battersby Golf LLC.","2021","Retired","n/a"
"Amerant Bancorp,"Inc."","Director & Chairman of the Board","Frederick C. Copeland Jr","n/a","n/a","2021","n/a","n/a"
"Amerant Bancorp,"Inc."","Director","Pamella J. Dana","Owner and Managing Member","Sure Lure Charter Company","2021","Chief Officer External Affairs,"Institute for Human & Machine Recognition"","n/a"
"Amerant Bancorp,"Inc."","Director","Pamella J. Dana","Trustee","Florida Chamber of Commerce Foundation Board","2021","Chief Officer External Affairs,"Institute for Human & Machine Recognition"","n/a"
"Amerant Bancorp,"Inc."","Director","Alberto Manuel Capriles Santander","n/a","n/a","2021","None","n/a"
"Amerant Bancorp,"Inc."","Executive Vice President & Chief Risk Officer","Miguel Palacios","n/a","n/a","2021","None","n/a"
"Amerant Bancorp,"Inc."","Executive Vice President - Chief Business Officer","Carlos Iafigliola","n/a","n/a","2021","None","n/a"
"Amerant Bancorp,"Inc."","Director","Gustavo A. Marturet Medina","Director","Inversiones Marturet","2021","Consultant,"CEO and owner of Martuga Corporation"","n/a"
"Amerant Bancorp,"Inc."","Director","Gustavo A. Marturet Medina","Director","ED Marturet & CO Scrs.","2021","Consultant,"CEO and owner of Martuga Corporation"","n/a"
"Amerant Bancorp,"Inc."","Director","Gustavo A. Marturet Medina","Director","Marturet Ingenieria y Construccion","2021","Consultant,"CEO and owner of Martuga Corporation"","n/a"
"Amerant Bancorp,"Inc."","Director","Gustavo A. Marturet Medina","Director","Corporacion 311","2021","Consultant,"CEO and owner of Martuga Corporation"","n/a"
"Amerant Bancorp,"Inc."","Director","Gustavo A. Marturet Medina","Director","Ganimedes C.A.","2021","Consultant,"CEO and owner of Martuga Corporation"","n/a"
"Amerant Bancorp,"Inc."","Director","Gustavo A. Marturet Medina","Director","GMII LLC","2021","Consultant,"CEO and owner of Martuga Corporation"","n/a"
"Amerant Bancorp,"Inc."","Director","Gustavo A. Marturet Medina","Director","Martuga Corporation","2021","Consultant,"CEO and owner of Martuga Corporation"","n/a"
"Amerant Bancorp,"Inc."","Director,"Vice-Chair","President & CEO"","M Gerald Paul Plush","n/a","n/a","2021","n/a","n/a"
"Amerant Bancorp,"Inc."","Director","John W. Quill","n/a","n/a","2021","Financial Services Consultant","n/a"
```
