```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First State Bancshares of Blakely,"Inc."","Lexington,"Kentucky"","2023","Lucy Y. Boutin","n/a","4038","7.97%","n/a"
"First State Bancshares of Blakely,"Inc."","Key Largo,"Florida"","2023","Blair M. Bynum","n/a","5556","10.97%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","Michael H. Bynum","n/a","11336","22.39%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","Samuel G. Bynum","n/a","10271","20.29%","n/a"
"First State Bancshares of Blakely,"Inc."","Louisville,"Kentucky"","2023","Lucy C. Boutin 6% Charitable ** Remainder Trust","n/a","3359","6.63%","n/a"
"First State Bancshares of Blakely,"Inc."","Louisville,"Kentucky"","2023","Lucy Y. Boutin","n/a","679","1.34%","n/a"
"First State Bancshares of Blakely,"Inc."","Key Largo,"Florida"","2023","Blair M. Bynum","n/a","5556","10.97%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","Michael H. Bynum Family Trust","n/a","1917","3.79%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","BHB Tampa,"LLC"","n/a","1909","3.77%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","KMB Tampa,"LLC"","n/a","1910","3.77%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","MMB Tampa,"LLC"","n/a","1910","3.77%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","Brent H. Bynum 2010 Trust","n/a","1230","2.43%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","Kevin M. Bynum 2010 Trust","n/a","1230","2.43%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","Mallory M. Bynum 2010 Trust","n/a","1230","2.43%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","Samuel G. Bynum (direct ownership)","n/a","5556","10.97%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","SCB Tampa,"LLC"","n/a","2357","4.66%","n/a"
"First State Bancshares of Blakely,"Inc."","Tampa,"Florida"","2023","SMB Tampa,"LLC"","n/a","2358","4.66%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First State Bancshares of Blakely,"Inc."","Director","Samuel G. Bynum","Director","TFS Holdings,"Inc."","2023","Investments","n/a"
"First State Bancshares of Blakely,"Inc."","President/CEO Director","William D. Lanford,"Jr."","n/a","n/a","2023","First State Bank of Blakely","n/a"
"First State Bancshares of Blakely,"Inc."","Vice President Board Secretary","Kimberly M. Warren","n/a","n/a","2023","First State Bank of Blakely","n/a"
