```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Pinnacle Financial Partners,"Inc."","New York,"NY"","2021","BlackRock,"Inc."","n/a","6830309","8.95%","n/a"
"Pinnacle Financial Partners,"Inc."","Malvern,"PA"","2021","The Vanguard Group,"Inc."","n/a","6762491","8.86%","n/a"
"Pinnacle Financial Partners,"Inc."","Baltimore,"MD"","2021","T. Rowe Price Associates,"Inc."","n/a","5142843","6.74%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Pinnacle Financial Partners,"Inc."","Director","Abney S. Boxley,"III"","Construction Materials Executive","Boxley Materials Company","2021","Construction Materials Executive","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Charles E. Brock","Business Creation Executive","Brock Partnership","2021","Business Creation Executive","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Renda J. Burkhart","Certified Public Accountant","Dixon Hughes Goodman LLP","2021","Certified Public Accountant","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Gregory L. Burns","Consultant","Gregory Burns Consulting Group,"LLC"","2021","Consultant","n/a"
"Pinnacle Financial Partners,"Inc."","Chairman of the Carolinas and Virginia","Richard D. Callicutt","n/a","n/a","2021","n/a","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Marty G. Dickens","Retired Telecommunications Executive","n/a","2021","Retired Telecommunications Executive","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Thomas C. Farnsworth,"III"","Real Estate Investor","Farnsworth Investment Company","2021","Real Estate Investor","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Joseph C. Galante","Retired Music & Entertainment Industry Executive","n/a","2021","Retired Music & Entertainment Industry Executive","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Glenda Baskin Glover","Educator","Tennessee State University","2021","Educator","n/a"
"Pinnacle Financial Partners,"Inc."","Director","David B. Ingram","Entertainment Industry Executive","Ingram Entertainment,"Inc."","2021","Entertainment Industry Executive","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Decosta E. Jenkins","Public Utilities","Nashville Electric Service","2021","Public Utilities","n/a"
"Pinnacle Financial Partners,"Inc."","Chairman of the Board","Robert A. McCabe,"Jr."","n/a","n/a","2021","n/a","n/a"
"Pinnacle Financial Partners,"Inc."","Vice Chairman of the Board","Ronald L. Samuels","Retired Banker","n/a","2021","Retired Banker","n/a"
"Pinnacle Financial Partners,"Inc."","Director","Reese L. Smith III","Builder/Developer","Haury & Smith Contractors,"Inc."","2021","Builder/Developer","n/a"
"Pinnacle Financial Partners,"Inc."","Director","G. Kennedy Thompson","Private Equity Investor","Aquiline Capital Partners,"LLC"","2021","Private Equity Investor","n/a"
"Pinnacle Financial Partners,"Inc."","President and Chief Executive Officer","M. Terry Turner","n/a","n/a","2021","n/a","n/a"
"Pinnacle Financial Partners,"Inc."","Executive Vice President and Chief Administrative Officer","Hugh M. Queener","n/a","n/a","2021","n/a","n/a"
"Pinnacle Financial Partners,"Inc."","Executive Vice President and Chief Financial Officer","Harold R. Carpenter","n/a","n/a","2021","n/a","n/a"
```
