```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Burke & Herbert Financial Services Corp.","New York,"NY"","2023","BlackRock,"Inc"","n/a","n/a","6.4%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Burke & Herbert Financial Services Corp.","Chief Executive Officer* President* Chair","David P. Boyle","n/a","n/a","2023","N/A","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Roy E. Halyama","n/a","n/a","2023","N/A","n/a","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Jeffrey A. Welch","n/a","n/a","2023","N/A","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Joseph F. Collum","n/a","n/a","2023","N/A","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Emily S. Debeniotis","n/a","n/a","2023","N/A","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Shannon B. Rowan","n/a","n/a","2023","N/A","n/a","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Kendrick C. Smith","n/a","n/a","2023","N/A","n/a","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Jennifer P. Schmidt","n/a","n/a","2023","N/A","n/a","n/a","n/a"
"Burke & Herbert Financial Services Corp.","Executive Officer","Kirtan Parikh","n/a","n/a","2023","N/A","n/a","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","E. Hunt Burke","n/a","n/a","2023","N/A","3.99%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Resources Management Group Inc.","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","S. L. Hinson Associates LLLP","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Kedge Capital LLC","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Hinson Development Corporation","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Mount Vernon Nursing LLP","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Cereus Investments,"LLC"","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Hinson-Mendard Associates","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Interstate Security,"LLC"","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Port AMX,"LLC"","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Port MWY,"LLC"","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Port Royal Pride,"LLC"","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Mt. Vernon Professional Condominium Association II","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","S. Laing Hinson","President","Mt. Vernon Professional Condominium Association III","2023","Principal","1.01%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Mark G. Anderson","President","MGAC Inc.","2023","President","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Mark G. Anderson","President","RLF LLP (UK Partnership)","2023","President","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Mark G. Anderson","President","Real Estate Proceeds LLC","2023","President","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Mark G. Anderson","President","Anderson LLC","2023","President","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Mark G. Anderson","President","Mrytle Street LLC","2023","President","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Mark G. Anderson","President","House on Windor LLC","2023","President","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Julian F. Barnwell Jr.","President,"CEO"","Design & Productions","2023","President & CEO","4.69%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Katherine D. Bonnafé","CEO","Combined Creative,"LLC"","2023","CEO","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","James M. Burke","CEO","Burke Capital Corporation","2023","Founder & President","3.56%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Nicolas Carosi III","Chair of Board","Board of Arban & Carosi,"Inc."","2023","Chairman","<1%","n/a","n/a"
